Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"ACADEMY OF MANAGEMENT JOURNAL","ACAD MANAGE J","ACAD MANAGEMENT","0001-4273","1948-0989","BUSINESS","SSCI","47,303","10.5","2.43","13.8","0"%,"100"%,"54",
"ACADEMY OF MANAGEMENT JOURNAL","ACAD MANAGE J","ACAD MANAGEMENT","0001-4273","1948-0989","MANAGEMENT","SSCI","47,303","10.5","2.43","13.8","0"%,"100"%,"54",
"ECONOMETRICA","ECONOMETRICA","WILEY","0012-9682","1468-0262","ECONOMICS","SSCI","43,246","7.1","2.73","8.3","0.46"%,"100"%,"55",
"ECONOMETRICA","ECONOMETRICA","WILEY","0012-9682","1468-0262","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","43,246","7.1","2.73","8.3","0.46"%,"100"%,"55",
"ECONOMETRICA","ECONOMETRICA","WILEY","0012-9682","1468-0262","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","43,246","7.1","2.73","8.3","0.46"%,"100"%,"55",
"ECONOMETRICA","ECONOMETRICA","WILEY","0012-9682","1468-0262","STATISTICS & PROBABILITY","SCIE","43,246","7.1","2.73","8.3","0.46"%,"100"%,"55",
"AUTOMATION IN CONSTRUCTION","AUTOMAT CONSTR","ELSEVIER","0926-5805","1872-7891","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","42,395","11.5","1.87","12.7","19.75"%,"86.99"%,"584",
"AUTOMATION IN CONSTRUCTION","AUTOMAT CONSTR","ELSEVIER","0926-5805","1872-7891","ENGINEERING, CIVIL","SCIE","42,395","11.5","1.87","12.7","19.75"%,"86.99"%,"584",
"AMERICAN JOURNAL OF PUBLIC HEALTH","AM J PUBLIC HEALTH","AMER PUBLIC HEALTH ASSOC INC","0090-0036","1541-0048","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","42,085","9.6","1.97","10.3","0.27"%,"98.35"%,"121",
"ACADEMY OF MANAGEMENT REVIEW","ACAD MANAGE REV","ACAD MANAGEMENT","0363-7425","1930-3807","BUSINESS","SSCI","41,552","13.9","3.83","19.3","0"%,"97.37"%,"38",
"ACADEMY OF MANAGEMENT REVIEW","ACAD MANAGE REV","ACAD MANAGEMENT","0363-7425","1930-3807","MANAGEMENT","SSCI","41,552","13.9","3.83","19.3","0"%,"97.37"%,"38",
"Computers & Industrial Engineering","COMPUT IND ENG","PERGAMON-ELSEVIER SCIENCE LTD","0360-8352","1879-0550","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","37,818","6.5","1.24","7","10.35"%,"99.01"%,"812",
"Computers & Industrial Engineering","COMPUT IND ENG","PERGAMON-ELSEVIER SCIENCE LTD","0360-8352","1879-0550","ENGINEERING, INDUSTRIAL","SCIE","37,818","6.5","1.24","7","10.35"%,"99.01"%,"812",
"AMERICAN PSYCHOLOGIST","AM PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0003-066X","1935-990X","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","37,479","7.2","3.67","12.8","18.75"%,"98.11"%,"106",
"COMMUNICATIONS OF THE ACM","COMMUN ACM","ASSOC COMPUTING MACHINERY","0001-0782","1557-7317","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","SCIE","36,634","12.2","2.72","20.3","14.45"%,"100"%,"86",
"COMMUNICATIONS OF THE ACM","COMMUN ACM","ASSOC COMPUTING MACHINERY","0001-0782","1557-7317","COMPUTER SCIENCE, SOFTWARE ENGINEERING","SCIE","36,634","12.2","2.72","20.3","14.45"%,"100"%,"86",
"COMMUNICATIONS OF THE ACM","COMMUN ACM","ASSOC COMPUTING MACHINERY","0001-0782","1557-7317","COMPUTER SCIENCE, THEORY & METHODS","SCIE","36,634","12.2","2.72","20.3","14.45"%,"100"%,"86",
"ECOLOGICAL ECONOMICS","ECOL ECON","ELSEVIER","0921-8009","1873-6106","ECOLOGY","SCIE","35,499","6.3","1.56","7.3","46.84"%,"99"%,"299",
"ECOLOGICAL ECONOMICS","ECOL ECON","ELSEVIER","0921-8009","1873-6106","ECONOMICS","SSCI","35,499","6.3","1.56","7.3","46.84"%,"99"%,"299",
"ECOLOGICAL ECONOMICS","ECOL ECON","ELSEVIER","0921-8009","1873-6106","ENVIRONMENTAL SCIENCES","SCIE","35,499","6.3","1.56","7.3","46.84"%,"99"%,"299",
"ECOLOGICAL ECONOMICS","ECOL ECON","ELSEVIER","0921-8009","1873-6106","ENVIRONMENTAL STUDIES","SSCI","35,499","6.3","1.56","7.3","46.84"%,"99"%,"299",
"ACCIDENT ANALYSIS AND PREVENTION","ACCIDENT ANAL PREV","PERGAMON-ELSEVIER SCIENCE LTD","0001-4575","1879-2057","ERGONOMICS","SSCI","31,668","6.2","2.04","6.9","19.21"%,"96.62"%,"325",
"ACCIDENT ANALYSIS AND PREVENTION","ACCIDENT ANAL PREV","PERGAMON-ELSEVIER SCIENCE LTD","0001-4575","1879-2057","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","31,668","6.2","2.04","6.9","19.21"%,"96.62"%,"325",
"ACCIDENT ANALYSIS AND PREVENTION","ACCIDENT ANAL PREV","PERGAMON-ELSEVIER SCIENCE LTD","0001-4575","1879-2057","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","31,668","6.2","2.04","6.9","19.21"%,"96.62"%,"325",
"ACCIDENT ANALYSIS AND PREVENTION","ACCIDENT ANAL PREV","PERGAMON-ELSEVIER SCIENCE LTD","0001-4575","1879-2057","TRANSPORTATION","SSCI","31,668","6.2","2.04","6.9","19.21"%,"96.62"%,"325",
"Business Strategy and the Environment","BUS STRATEG ENVIRON","WILEY","0964-4733","1099-0836","BUSINESS","SSCI","30,263","13.3","2.76","16.1","47.04"%,"99.77"%,"432",
"Business Strategy and the Environment","BUS STRATEG ENVIRON","WILEY","0964-4733","1099-0836","ENVIRONMENTAL STUDIES","SSCI","30,263","13.3","2.76","16.1","47.04"%,"99.77"%,"432",
"Business Strategy and the Environment","BUS STRATEG ENVIRON","WILEY","0964-4733","1099-0836","MANAGEMENT","SSCI","30,263","13.3","2.76","16.1","47.04"%,"99.77"%,"432",
"Annual Review of Psychology","ANNU REV PSYCHOL","ANNUAL REVIEWS","0066-4308","1545-2085","PSYCHOLOGY","SCIE","29,863","29.4","5.37","34.4","50.67"%,"0"%,"24",
"Annual Review of Psychology","ANNU REV PSYCHOL","ANNUAL REVIEWS","0066-4308","1545-2085","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","29,863","29.4","5.37","34.4","50.67"%,"0"%,"24",
"ANNALS OF STATISTICS","ANN STAT","INST MATHEMATICAL STATISTICS-IMS","0090-5364","N/A","STATISTICS & PROBABILITY","SCIE","28,970","3.7","2.07","5.9","0.29"%,"100"%,"113",
"BIOMETRIKA","BIOMETRIKA","OXFORD UNIV PRESS","0006-3444","1464-3510","BIOLOGY","SCIE","26,561","2.8","1.04","3.9","20.38"%,"100"%,"67",
"BIOMETRIKA","BIOMETRIKA","OXFORD UNIV PRESS","0006-3444","1464-3510","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","26,561","2.8","1.04","3.9","20.38"%,"100"%,"67",
"BIOMETRIKA","BIOMETRIKA","OXFORD UNIV PRESS","0006-3444","1464-3510","STATISTICS & PROBABILITY","SCIE","26,561","2.8","1.04","3.9","20.38"%,"100"%,"67",
"APPETITE","APPETITE","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0195-6663","1095-8304","BEHAVIORAL SCIENCES","SCIE","24,772","3.8","1.33","4.5","42.57"%,"96.94"%,"457",
"APPETITE","APPETITE","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0195-6663","1095-8304","NUTRITION & DIETETICS","SCIE","24,772","3.8","1.33","4.5","42.57"%,"96.94"%,"457",
"AMERICAN SOCIOLOGICAL REVIEW","AM SOCIOL REV","SAGE PUBLICATIONS INC","0003-1224","1939-8271","SOCIOLOGY","SSCI","24,369","6.2","3.72","13.9","29.36"%,"100"%,"36",
"AMERICAN JOURNAL OF SOCIOLOGY","AM J SOCIOL","UNIV CHICAGO PRESS","0002-9602","1537-5390","SOCIOLOGY","SSCI","21,533","3.6","1.99","5.7","0"%,"96"%,"25",
"AMERICAN POLITICAL SCIENCE REVIEW","AM POLIT SCI REV","CAMBRIDGE UNIV PRESS","0003-0554","1537-5943","POLITICAL SCIENCE","SSCI","21,167","5.8","2.78","8.5","75.19"%,"100"%,"128",
"ADMINISTRATIVE SCIENCE QUARTERLY","ADMIN SCI QUART","SAGE PUBLICATIONS INC","0001-8392","1930-3815","BUSINESS","SSCI","20,693","6.5","1.63","13.9","29.87"%,"100"%,"27",
"ADMINISTRATIVE SCIENCE QUARTERLY","ADMIN SCI QUART","SAGE PUBLICATIONS INC","0001-8392","1930-3815","MANAGEMENT","SSCI","20,693","6.5","1.63","13.9","29.87"%,"100"%,"27",
"ANNALS OF OPERATIONS RESEARCH","ANN OPER RES","SPRINGER","0254-5330","1572-9338","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","20,568","4.5","0.9","4.6","26.05"%,"100"%,"626",
"ANNALS OF TOURISM RESEARCH","ANN TOURISM RES","PERGAMON-ELSEVIER SCIENCE LTD","0160-7383","1873-7722","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","18,474","7.8","3","11.1","35.57"%,"98.4"%,"125",
"ANNALS OF TOURISM RESEARCH","ANN TOURISM RES","PERGAMON-ELSEVIER SCIENCE LTD","0160-7383","1873-7722","SOCIOLOGY","SSCI","18,474","7.8","3","11.1","35.57"%,"98.4"%,"125",
"COMPUTERS & OPERATIONS RESEARCH","COMPUT OPER RES","PERGAMON-ELSEVIER SCIENCE LTD","0305-0548","1873-765X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","18,099","4.3","0.81","4.9","25"%,"98.81"%,"337",
"COMPUTERS & OPERATIONS RESEARCH","COMPUT OPER RES","PERGAMON-ELSEVIER SCIENCE LTD","0305-0548","1873-765X","ENGINEERING, INDUSTRIAL","SCIE","18,099","4.3","0.81","4.9","25"%,"98.81"%,"337",
"COMPUTERS & OPERATIONS RESEARCH","COMPUT OPER RES","PERGAMON-ELSEVIER SCIENCE LTD","0305-0548","1873-765X","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","18,099","4.3","0.81","4.9","25"%,"98.81"%,"337",
"Annual Review of Sociology","ANNU REV SOCIOL","ANNUAL REVIEWS","0360-0572","1545-2115","SOCIOLOGY","SSCI","16,679","9","4.61","15.2","31.33"%,"0"%,"36",
"AMERICAN JOURNAL OF POLITICAL SCIENCE","AM J POLIT SCI","WILEY","0092-5853","1540-5907","POLITICAL SCIENCE","SSCI","16,378","5.6","2.35","7.1","48.1"%,"100"%,"106",
"ECONOMIC MODELLING","ECON MODEL","ELSEVIER","0264-9993","1873-6122","ECONOMICS","SSCI","15,660","4.7","1.54","4.8","21.62"%,"100"%,"252",
"Corporate Social Responsibility and Environmental Management","CORP SOC RESP ENV MA","WILEY","1535-3958","1535-3966","BUSINESS","SSCI","15,559","9.1","1.98","11.3","31.92"%,"90.51"%,"369",
"Corporate Social Responsibility and Environmental Management","CORP SOC RESP ENV MA","WILEY","1535-3958","1535-3966","ENVIRONMENTAL STUDIES","SSCI","15,559","9.1","1.98","11.3","31.92"%,"90.51"%,"369",
"Corporate Social Responsibility and Environmental Management","CORP SOC RESP ENV MA","WILEY","1535-3958","1535-3966","MANAGEMENT","SSCI","15,559","9.1","1.98","11.3","31.92"%,"90.51"%,"369",
"DECISION SUPPORT SYSTEMS","DECIS SUPPORT SYST","ELSEVIER","0167-9236","1873-5797","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","14,639","6.8","1.38","8.2","15.71"%,"99.34"%,"151",
"DECISION SUPPORT SYSTEMS","DECIS SUPPORT SYST","ELSEVIER","0167-9236","1873-5797","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","14,639","6.8","1.38","8.2","15.71"%,"99.34"%,"151",
"DECISION SUPPORT SYSTEMS","DECIS SUPPORT SYST","ELSEVIER","0167-9236","1873-5797","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","14,639","6.8","1.38","8.2","15.71"%,"99.34"%,"151",
"ECONOMICS LETTERS","ECON LETT","ELSEVIER SCIENCE SA","0165-1765","1873-7374","ECONOMICS","SSCI","14,401","1.8","0.62","1.8","24.32"%,"100"%,"517",
"COMPUTERS & SECURITY","COMPUT SECUR","ELSEVIER ADVANCED TECHNOLOGY","0167-4048","1872-6208","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","14,347","5.4","1.33","5.9","25.6"%,"96.71"%,"487",
"APPLIED ECONOMICS","APPL ECON","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0003-6846","1466-4283","ECONOMICS","SSCI","13,675","2.1","0.63","2.2","10.41"%,"100"%,"682",
"Current Issues in Tourism","CURR ISSUES TOUR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1368-3500","1747-7603","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","12,671","4.6","1.34","6.3","13.79"%,"94.51"%,"346",
"BMC Medical Informatics and Decision Making","BMC MED INFORM DECIS","BMC","N/A","1472-6947","MEDICAL INFORMATICS","SCIE","11,683","3.8","0.87","4.4","99.53"%,"98.3"%,"412",
"Academy of Management Annals","ACAD MANAG ANN","ACAD MANAGEMENT","1941-6520","1941-6067","BUSINESS","SSCI","10,376","16.5","3.06","26.9","0"%,"95.24"%,"21",
"Academy of Management Annals","ACAD MANAG ANN","ACAD MANAGEMENT","1941-6520","1941-6067","MANAGEMENT","SSCI","10,376","16.5","3.06","26.9","0"%,"95.24"%,"21",
"British Food Journal","BRIT FOOD J","EMERALD GROUP PUBLISHING LTD","0007-070X","1758-4108","AGRICULTURAL ECONOMICS & POLICY","SCIE","10,205","4.2","1.13","4","13.53"%,"97.07"%,"239",
"British Food Journal","BRIT FOOD J","EMERALD GROUP PUBLISHING LTD","0007-070X","1758-4108","FOOD SCIENCE & TECHNOLOGY","SCIE","10,205","4.2","1.13","4","13.53"%,"97.07"%,"239",
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","COMPUT STAT DATA AN","ELSEVIER","0167-9473","1872-7352","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","10,155","1.6","0.56","1.9","22.48"%,"100"%,"112",
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","COMPUT STAT DATA AN","ELSEVIER","0167-9473","1872-7352","STATISTICS & PROBABILITY","SCIE","10,155","1.6","0.56","1.9","22.48"%,"100"%,"112",
"BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY","BRIT J EDUC TECHNOL","WILEY","0007-1013","1467-8535","EDUCATION & EDUCATIONAL RESEARCH","SSCI","9,611","8.1","3.64","8.1","43.97"%,"93.55"%,"124",
"DEMOGRAPHY","DEMOGRAPHY","DUKE UNIV PRESS","0070-3370","1533-7790","DEMOGRAPHY","SSCI","9,329","3.6","1.83","4.5","89.96"%,"100"%,"91",
"CHINA ECONOMIC REVIEW","CHINA ECON REV","ELSEVIER SCIENCE INC","1043-951X","1873-7781","ECONOMICS","SSCI","9,158","5.5","1.75","6.7","5.59"%,"98.84"%,"173",
"BRITISH JOURNAL OF MANAGEMENT","BRIT J MANAGE","WILEY","1045-3172","1467-8551","BUSINESS","SSCI","8,921","5.7","1.08","7","60.78"%,"100"%,"95",
"BRITISH JOURNAL OF MANAGEMENT","BRIT J MANAGE","WILEY","1045-3172","1467-8551","MANAGEMENT","SSCI","8,921","5.7","1.08","7","60.78"%,"100"%,"95",
"CONTEMPORARY ACCOUNTING RESEARCH","CONTEMP ACCOUNT RES","WILEY","0823-9150","1911-3846","BUSINESS, FINANCE","SSCI","8,909","3.8","1.03","5.6","41.43"%,"100"%,"83",
"AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","AM J AGR ECON","WILEY","0002-9092","1467-8276","AGRICULTURAL ECONOMICS & POLICY","SCIE","8,859","3.3","1.48","4.7","53.33"%,"100"%,"49",
"AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS","AM J AGR ECON","WILEY","0002-9092","1467-8276","ECONOMICS","SSCI","8,859","3.3","1.48","4.7","53.33"%,"100"%,"49",
"Economic Analysis and Policy","ECON ANAL POLICY","ELSEVIER","0313-5926","0313-5926","ECONOMICS","SSCI","8,852","8.7","2.97","7.6","13.33"%,"99.46"%,"370",
"BUSINESS HORIZONS","BUS HORIZONS","ELSEVIER","0007-6813","1873-6068","BUSINESS","SSCI","8,665","7","1.31","10","30.51"%,"100"%,"53",
"ACCOUNTING ORGANIZATIONS AND SOCIETY","ACCOUNT ORG SOC","PERGAMON-ELSEVIER SCIENCE LTD","0361-3682","1873-6289","BUSINESS, FINANCE","SSCI","8,384","4","1.09","5.2","25.23"%,"100"%,"45",
"Accounting Auditing & Accountability Journal","ACCOUNT AUDIT ACCOUN","EMERALD GROUP PUBLISHING LTD","0951-3574","1758-4205","BUSINESS, FINANCE","SSCI","8,043","3.4","1.06","5.7","22.31"%,"98.65"%,"74",
"CALIFORNIA MANAGEMENT REVIEW","CALIF MANAGE REV","SAGE PUBLICATIONS INC","0008-1256","2162-8564","BUSINESS","SSCI","8,024","7.3","1.39","15.6","44.3"%,"100"%,"25",
"CALIFORNIA MANAGEMENT REVIEW","CALIF MANAGE REV","SAGE PUBLICATIONS INC","0008-1256","2162-8564","MANAGEMENT","SSCI","8,024","7.3","1.39","15.6","44.3"%,"100"%,"25",
"COMPARATIVE POLITICAL STUDIES","COMP POLIT STUD","SAGE PUBLICATIONS INC","0010-4140","1552-3829","POLITICAL SCIENCE","SSCI","8,003","3.4","1.9","5.9","31.5"%,"100"%,"96",
"ACTA PSYCHOLOGICA","ACTA PSYCHOL","ELSEVIER","0001-6918","1873-6297","PSYCHOLOGY, EXPERIMENTAL","SSCI","7,979","2.7","0.83","2.3","95.75"%,"97.67"%,"514",
"AMERICAN BEHAVIORAL SCIENTIST","AM BEHAV SCI","SAGE PUBLICATIONS INC","0002-7642","1552-3381","PSYCHOLOGY, CLINICAL","SSCI","7,969","1.5","0.79","2.6","15.43"%,"99.32"%,"148",
"AMERICAN BEHAVIORAL SCIENTIST","AM BEHAV SCI","SAGE PUBLICATIONS INC","0002-7642","1552-3381","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","7,969","1.5","0.79","2.6","15.43"%,"99.32"%,"148",
"COGNITIVE PSYCHOLOGY","COGNITIVE PSYCHOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0010-0285","1095-5623","PSYCHOLOGY","SCIE","7,790","3","1.04","3.3","42.5"%,"100"%,"24",
"COGNITIVE PSYCHOLOGY","COGNITIVE PSYCHOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0010-0285","1095-5623","PSYCHOLOGY, EXPERIMENTAL","SSCI","7,790","3","1.04","3.3","42.5"%,"100"%,"24",
"ANNALS OF PROBABILITY","ANN PROBAB","INST MATHEMATICAL STATISTICS-IMS","0091-1798","N/A","STATISTICS & PROBABILITY","SCIE","7,463","2.5","1.18","2.6","1.24"%,"100"%,"48",
"ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE","ANN AM ACAD POLIT SS","SAGE PUBLICATIONS INC","0002-7162","1552-3349","POLITICAL SCIENCE","SSCI","7,125","2.6","1.12","3.5","6.22"%,"100"%,"30",
"ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE","ANN AM ACAD POLIT SS","SAGE PUBLICATIONS INC","0002-7162","1552-3349","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","7,125","2.6","1.12","3.5","6.22"%,"100"%,"30",
"COMMUNICATIONS IN STATISTICS-THEORY AND METHODS","COMMUN STAT-THEOR M","TAYLOR & FRANCIS INC","0361-0926","1532-415X","STATISTICS & PROBABILITY","SCIE","7,064","0.8","0.37","0.9","4.47"%,"97.18"%,"284",
"American Economic Journal-Applied Economics","AM ECON J-APPL ECON","AMER ECONOMIC ASSOC","1945-7782","1945-7790","ECONOMICS","SSCI","6,816","6.2","1.94","8.5","0"%,"100"%,"64",
"BRITISH JOURNAL OF SOCIAL PSYCHOLOGY","BRIT J SOC PSYCHOL","WILEY","0144-6665","2044-8309","PSYCHOLOGY, SOCIAL","SSCI","6,802","3","1.13","4.4","68.31"%,"99"%,"100",
"BEHAVIOUR & INFORMATION TECHNOLOGY","BEHAV INFORM TECHNOL","TAYLOR & FRANCIS LTD","0144-929X","1362-3001","COMPUTER SCIENCE, CYBERNETICS","SCIE","6,732","3.1","0.66","4.1","23.63"%,"99.5"%,"202",
"BEHAVIOUR & INFORMATION TECHNOLOGY","BEHAV INFORM TECHNOL","TAYLOR & FRANCIS LTD","0144-929X","1362-3001","ERGONOMICS","SSCI","6,732","3.1","0.66","4.1","23.63"%,"99.5"%,"202",
"BRITISH JOURNAL OF POLITICAL SCIENCE","BRIT J POLIT SCI","CAMBRIDGE UNIV PRESS","0007-1234","1469-2112","POLITICAL SCIENCE","SSCI","6,653","4.7","2.44","5.7","70.69"%,"100"%,"42",
"Annual Review of Organizational Psychology and Organizational Behavior","ANNU REV ORGAN PSYCH","ANNUAL REVIEWS","2327-0608","2327-0616","MANAGEMENT","SSCI","6,408","31.1","8.92","25.1","66.67"%,"15"%,"20",
"Annual Review of Organizational Psychology and Organizational Behavior","ANNU REV ORGAN PSYCH","ANNUAL REVIEWS","2327-0608","2327-0616","PSYCHOLOGY, APPLIED","SSCI","6,408","31.1","8.92","25.1","66.67"%,"15"%,"20",
"CLIMATE POLICY","CLIM POLICY","TAYLOR & FRANCIS LTD","1469-3062","1752-7457","ENVIRONMENTAL STUDIES","SSCI","6,353","5.2","1.65","7","44.11"%,"91.67"%,"120",
"CLIMATE POLICY","CLIM POLICY","TAYLOR & FRANCIS LTD","1469-3062","1752-7457","PUBLIC ADMINISTRATION","SSCI","6,353","5.2","1.65","7","44.11"%,"91.67"%,"120",
"Benchmarking-An International Journal","BENCHMARKING","EMERALD GROUP PUBLISHING LTD","1463-5771","1758-4094","MANAGEMENT","ESCI","6,166","4.4","1.02","5.1","2.61"%,"98.62"%,"145",
"APPLIED ECONOMICS LETTERS","APPL ECON LETT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1350-4851","1466-4291","ECONOMICS","SSCI","6,139","1.3","0.37","1.3","6.87"%,"100"%,"587",
"COMMUNICATION RESEARCH","COMMUN RES","SAGE PUBLICATIONS INC","0093-6502","1552-3810","COMMUNICATION","SSCI","6,023","3.2","1.99","5.9","22.97"%,"93.33"%,"60",
"BRITISH JOURNAL OF PSYCHOLOGY","BRIT J PSYCHOL","WILEY","0007-1269","2044-8295","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","5,666","3.3","1.24","3.7","56.1"%,"100"%,"57",
"Academy of Management Perspectives","ACAD MANAGE PERSPECT","ACAD MANAGEMENT","1558-9080","N/A","BUSINESS","SSCI","5,664","5.7","1.66","8.3","0"%,"100"%,"32",
"Academy of Management Perspectives","ACAD MANAGE PERSPECT","ACAD MANAGEMENT","1558-9080","N/A","MANAGEMENT","SSCI","5,664","5.7","1.66","8.3","0"%,"100"%,"32",
"American Economic Journal-Economic Policy","AM ECON J-ECON POLIC","AMER ECONOMIC ASSOC","1945-7731","1945-774X","ECONOMICS","SSCI","5,588","5.3","1.75","7.6","0"%,"100"%,"64",
"APPLIED COGNITIVE PSYCHOLOGY","APPL COGNITIVE PSYCH","WILEY","0888-4080","1099-0720","PSYCHOLOGY, EXPERIMENTAL","SSCI","5,559","1.8","0.69","2.3","54.19"%,"100"%,"105",
"AGRICULTURAL ECONOMICS","AGR ECON-BLACKWELL","WILEY","0169-5150","1574-0862","AGRICULTURAL ECONOMICS & POLICY","SCIE","5,306","4","1.05","4.5","51.57"%,"98.18"%,"55",
"AGRICULTURAL ECONOMICS","AGR ECON-BLACKWELL","WILEY","0169-5150","1574-0862","ECONOMICS","SSCI","5,306","4","1.05","4.5","51.57"%,"98.18"%,"55",
"CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW","CORP GOV-OXFORD","WILEY","0964-8410","1467-8683","BUSINESS","SSCI","5,275","5.5","0.96","6.6","39.16"%,"91.07"%,"56",
"CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW","CORP GOV-OXFORD","WILEY","0964-8410","1467-8683","BUSINESS, FINANCE","SSCI","5,275","5.5","0.96","6.6","39.16"%,"91.07"%,"56",
"CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW","CORP GOV-OXFORD","WILEY","0964-8410","1467-8683","MANAGEMENT","SSCI","5,275","5.5","0.96","6.6","39.16"%,"91.07"%,"56",
"Business & Society","BUS SOC","SAGE PUBLICATIONS INC","0007-6503","1552-4205","BUSINESS","SSCI","5,271","6","0.95","8.1","33.55"%,"100"%,"56",
"ECONOMICS OF EDUCATION REVIEW","ECON EDUC REV","PERGAMON-ELSEVIER SCIENCE LTD","0272-7757","1873-7382","ECONOMICS","SSCI","5,080","1.8","0.8","2.5","36.92"%,"96.97"%,"66",
