"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","IEEE T INTELL TRANSP","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1524-9050","1558-0016","TRANSPORTATION SCIENCE & TECHNOLOGY","SCIE","62,678","8.4","1.86","9.5","4.16"%,"99.43"%,"1,400",
"Energy Economics","ENERG ECON","ELSEVIER","0140-9883","1873-6181","ECONOMICS","SSCI","53,243","14.2","4.59","13.2","22.75"%,"100"%,"747",
"INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH","INT J PROD RES","TAYLOR & FRANCIS LTD","0020-7543","1366-588X","ENGINEERING, INDUSTRIAL","SCIE","36,654","7.3","1.25","8.8","17.15"%,"92.29"%,"350",
"INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH","INT J PROD RES","TAYLOR & FRANCIS LTD","0020-7543","1366-588X","ENGINEERING, MANUFACTURING","SCIE","36,654","7.3","1.25","8.8","17.15"%,"92.29"%,"350",
"INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH","INT J PROD RES","TAYLOR & FRANCIS LTD","0020-7543","1366-588X","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","36,654","7.3","1.25","8.8","17.15"%,"92.29"%,"350",
"INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","INT J PROD ECON","ELSEVIER","0925-5273","1873-7579","ENGINEERING, INDUSTRIAL","SCIE","35,833","10","1.86","11.2","19.36"%,"98.16"%,"272",
"INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","INT J PROD ECON","ELSEVIER","0925-5273","1873-7579","ENGINEERING, MANUFACTURING","SCIE","35,833","10","1.86","11.2","19.36"%,"98.16"%,"272",
"INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS","INT J PROD ECON","ELSEVIER","0925-5273","1873-7579","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","35,833","10","1.86","11.2","19.36"%,"98.16"%,"272",
"Finance Research Letters","FINANC RES LETT","ACADEMIC PRESS INC ELSEVIER SCIENCE","1544-6123","1544-6131","BUSINESS, FINANCE","SSCI","28,265","6.9","2.13","7.2","11.31"%,"99.75"%,"1,615",
"GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS","GLOBAL ENVIRON CHANG","ELSEVIER SCI LTD","0959-3780","1872-9495","ENVIRONMENTAL SCIENCES","SCIE","26,254","9.1","2.37","11.5","62.32"%,"100"%,"111",
"GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS","GLOBAL ENVIRON CHANG","ELSEVIER SCI LTD","0959-3780","1872-9495","ENVIRONMENTAL STUDIES","SSCI","26,254","9.1","2.37","11.5","62.32"%,"100"%,"111",
"GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS","GLOBAL ENVIRON CHANG","ELSEVIER SCI LTD","0959-3780","1872-9495","GEOGRAPHY","SSCI","26,254","9.1","2.37","11.5","62.32"%,"100"%,"111",
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","23,587","27","6.63","23","34.44"%,"98.53"%,"68",
"International Journal of Hospitality Management","INT J HOSP MANAG","ELSEVIER SCI LTD","0278-4319","1873-4693","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","23,105","8.3","2.67","10.3","13.58"%,"94.48"%,"326",
"International Journal of Disaster Risk Reduction","INT J DISAST RISK RE","ELSEVIER","2212-4209","2212-4209","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","20,566","4.5","1.06","5.1","31.28"%,"96.04"%,"858",
"International Journal of Disaster Risk Reduction","INT J DISAST RISK RE","ELSEVIER","2212-4209","2212-4209","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","20,566","4.5","1.06","5.1","31.28"%,"96.04"%,"858",
"International Journal of Disaster Risk Reduction","INT J DISAST RISK RE","ELSEVIER","2212-4209","2212-4209","WATER RESOURCES","SCIE","20,566","4.5","1.06","5.1","31.28"%,"96.04"%,"858",
"HARVARD BUSINESS REVIEW","HARVARD BUS REV","HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION","0017-8012","0017-8012","BUSINESS","SSCI","19,526","7.8","0.21","10.9","0"%,"100"%,"83",
"HARVARD BUSINESS REVIEW","HARVARD BUS REV","HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION","0017-8012","0017-8012","MANAGEMENT","SSCI","19,526","7.8","0.21","10.9","0"%,"100"%,"83",
"International Review of Financial Analysis","INT REV FINANC ANAL","ELSEVIER SCIENCE INC","1057-5219","1873-8079","BUSINESS, FINANCE","SSCI","19,032","9.8","2.56","9.8","18.1"%,"98.77"%,"731",
"Food Quality and Preference","FOOD QUAL PREFER","ELSEVIER SCI LTD","0950-3293","1873-6343","FOOD SCIENCE & TECHNOLOGY","SCIE","19,032","4.9","1.06","5.5","44.46"%,"96.6"%,"235",
"INDUSTRIAL MARKETING MANAGEMENT","IND MARKET MANAG","ELSEVIER SCIENCE INC","0019-8501","1873-2062","BUSINESS","SSCI","18,688","7.5","1.64","9","43.63"%,"97.44"%,"156",
"INDUSTRIAL MARKETING MANAGEMENT","IND MARKET MANAG","ELSEVIER SCIENCE INC","0019-8501","1873-2062","MANAGEMENT","SSCI","18,688","7.5","1.64","9","43.63"%,"97.44"%,"156",
"International Journal of Contemporary Hospitality Management","INT J CONTEMP HOSP M","EMERALD GROUP PUBLISHING LTD","0959-6119","1757-1049","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","16,716","9","2.25","9.2","3.02"%,"98.61"%,"144",
"International Journal of Contemporary Hospitality Management","INT J CONTEMP HOSP M","EMERALD GROUP PUBLISHING LTD","0959-6119","1757-1049","MANAGEMENT","SSCI","16,716","9","2.25","9.2","3.02"%,"98.61"%,"144",
"ENTREPRENEURSHIP THEORY AND PRACTICE","ENTREP THEORY PRACT","SAGE PUBLICATIONS INC","1042-2587","1540-6520","BUSINESS","SSCI","15,911","7.9","1.33","12.8","40"%,"100"%,"42",
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER","0378-7206","1872-7530","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","14,434","8.2","2.3","11.2","15.9"%,"97.54"%,"122",
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER","0378-7206","1872-7530","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","14,434","8.2","2.3","11.2","15.9"%,"97.54"%,"122",
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER","0378-7206","1872-7530","MANAGEMENT","SSCI","14,434","8.2","2.3","11.2","15.9"%,"97.54"%,"122",
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","13,881","5.1","1.33","9.2","0"%,"98.61"%,"72",
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","MANAGEMENT","SSCI","13,881","5.1","1.33","9.2","0"%,"98.61"%,"72",
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","ELSEVIER SCI LTD","0306-4573","1873-5371","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","13,726","6.9","2.19","7.4","10.64"%,"99.18"%,"364",
"INFORMATION PROCESSING & MANAGEMENT","INFORM PROCESS MANAG","ELSEVIER SCI LTD","0306-4573","1873-5371","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","13,726","6.9","2.19","7.4","10.64"%,"99.18"%,"364",
"INTERNATIONAL JOURNAL OF HUMAN RESOURCE MANAGEMENT","INT J HUM RESOUR MAN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0958-5192","1466-4399","MANAGEMENT","SSCI","12,774","5.9","1.07","6.9","36.51"%,"100"%,"88",
"HUMAN RELATIONS","HUM RELAT","SAGE PUBLICATIONS LTD","0018-7267","1741-282X","MANAGEMENT","SSCI","12,747","5.4","1.88","7.3","45.35"%,"100"%,"48",
"HUMAN RELATIONS","HUM RELAT","SAGE PUBLICATIONS LTD","0018-7267","1741-282X","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","12,747","5.4","1.88","7.3","45.35"%,"100"%,"48",
"EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT","EDUC PSYCHOL MEAS","SAGE PUBLICATIONS INC","0013-1644","1552-3888","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","12,051","2.3","0.92","4.3","24.81"%,"100"%,"36",
"EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT","EDUC PSYCHOL MEAS","SAGE PUBLICATIONS INC","0013-1644","1552-3888","PSYCHOLOGY, EDUCATIONAL","SSCI","12,051","2.3","0.92","4.3","24.81"%,"100"%,"36",
"EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT","EDUC PSYCHOL MEAS","SAGE PUBLICATIONS INC","0013-1644","1552-3888","PSYCHOLOGY, MATHEMATICAL","SSCI","12,051","2.3","0.92","4.3","24.81"%,"100"%,"36",
"HABITAT INTERNATIONAL","HABITAT INT","PERGAMON-ELSEVIER SCIENCE LTD","0197-3975","1873-5428","DEVELOPMENT STUDIES","SSCI","12,035","7","1.71","7.5","19.92"%,"99.44"%,"177",
"HABITAT INTERNATIONAL","HABITAT INT","PERGAMON-ELSEVIER SCIENCE LTD","0197-3975","1873-5428","ENVIRONMENTAL STUDIES","SSCI","12,035","7","1.71","7.5","19.92"%,"99.44"%,"177",
"HABITAT INTERNATIONAL","HABITAT INT","PERGAMON-ELSEVIER SCIENCE LTD","0197-3975","1873-5428","REGIONAL & URBAN PLANNING","SSCI","12,035","7","1.71","7.5","19.92"%,"99.44"%,"177",
"HABITAT INTERNATIONAL","HABITAT INT","PERGAMON-ELSEVIER SCIENCE LTD","0197-3975","1873-5428","URBAN STUDIES","SSCI","12,035","7","1.71","7.5","19.92"%,"99.44"%,"177",
"IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT","IEEE T ENG MANAGE","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9391","1558-0040","BUSINESS","SSCI","11,920","5.2","1.12","5.7","7.16"%,"99.26"%,"404",
"IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT","IEEE T ENG MANAGE","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9391","1558-0040","ENGINEERING, INDUSTRIAL","SCIE","11,920","5.2","1.12","5.7","7.16"%,"99.26"%,"404",
"IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT","IEEE T ENG MANAGE","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0018-9391","1558-0040","MANAGEMENT","SSCI","11,920","5.2","1.12","5.7","7.16"%,"99.26"%,"404",
"INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT","INT J PROJ MANAG","ELSEVIER SCI LTD","0263-7863","1873-4634","MANAGEMENT","SSCI","11,612","7.5","1.66","8.9","51.46"%,"97.87"%,"47",
"ENVIRONMENTAL MANAGEMENT","ENVIRON MANAGE","SPRINGER","0364-152X","1432-1009","ENVIRONMENTAL SCIENCES","SCIE","11,608","3","0.57","3.5","37.96"%,"99.41"%,"170",
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION","INT J HUM-COMPUT INT","TAYLOR & FRANCIS INC","1044-7318","1532-7590","COMPUTER SCIENCE, CYBERNETICS","SCIE","11,488","4.9","1","5.5","14.81"%,"99.7"%,"667",
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION","INT J HUM-COMPUT INT","TAYLOR & FRANCIS INC","1044-7318","1532-7590","ERGONOMICS","SSCI","11,488","4.9","1","5.5","14.81"%,"99.7"%,"667",
"Environment and Planning A-Economy and Space","ENVIRON PLANN A","SAGE PUBLICATIONS INC","0308-518X","1472-3409","ENVIRONMENTAL STUDIES","SSCI","11,477","4","1.14","4.4","47.64"%,"100"%,"81",
"Environment and Planning A-Economy and Space","ENVIRON PLANN A","SAGE PUBLICATIONS INC","0308-518X","1472-3409","GEOGRAPHY","SSCI","11,477","4","1.14","4.4","47.64"%,"100"%,"81",
"International Review of Economics & Finance","INT REV ECON FINANC","ELSEVIER","1059-0560","1873-8036","BUSINESS, FINANCE","SSCI","10,982","5.6","1.72","5.5","14.04"%,"99.6"%,"744",
"International Review of Economics & Finance","INT REV ECON FINANC","ELSEVIER","1059-0560","1873-8036","ECONOMICS","SSCI","10,982","5.6","1.72","5.5","14.04"%,"99.6"%,"744",
"FOOD POLICY","FOOD POLICY","ELSEVIER SCI LTD","0306-9192","1873-5657","AGRICULTURAL ECONOMICS & POLICY","SCIE","10,970","6","1.89","7","46.11"%,"99.21"%,"126",
"FOOD POLICY","FOOD POLICY","ELSEVIER SCI LTD","0306-9192","1873-5657","ECONOMICS","SSCI","10,970","6","1.89","7","46.11"%,"99.21"%,"126",
"FOOD POLICY","FOOD POLICY","ELSEVIER SCI LTD","0306-9192","1873-5657","FOOD SCIENCE & TECHNOLOGY","SCIE","10,970","6","1.89","7","46.11"%,"99.21"%,"126",
"FOOD POLICY","FOOD POLICY","ELSEVIER SCI LTD","0306-9192","1873-5657","NUTRITION & DIETETICS","SCIE","10,970","6","1.89","7","46.11"%,"99.21"%,"126",
"INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS","INT J MED INFORM","ELSEVIER IRELAND LTD","1386-5056","1872-8243","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","10,547","4.1","1.01","4.9","41.46"%,"85.89"%,"319",
"INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS","INT J MED INFORM","ELSEVIER IRELAND LTD","1386-5056","1872-8243","HEALTH CARE SCIENCES & SERVICES","SCIE","10,547","4.1","1.01","4.9","41.46"%,"85.89"%,"319",
"INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS","INT J MED INFORM","ELSEVIER IRELAND LTD","1386-5056","1872-8243","MEDICAL INFORMATICS","SCIE","10,547","4.1","1.01","4.9","41.46"%,"85.89"%,"319",
"EUROPEAN ECONOMIC REVIEW","EUR ECON REV","ELSEVIER","0014-2921","1873-572X","ECONOMICS","SSCI","10,299","2.4","0.79","3.2","46.49"%,"100"%,"170",
"EUROPEAN JOURNAL OF MARKETING","EUR J MARKETING","EMERALD GROUP PUBLISHING LTD","0309-0566","1758-7123","BUSINESS","SSCI","10,278","5.1","0.86","6.4","9.8"%,"100"%,"82",
"HEALTH SERVICES RESEARCH","HEALTH SERV RES","WILEY","0017-9124","1475-6773","HEALTH CARE SCIENCES & SERVICES","SCIE","10,117","3.2","1.1","4.1","44.92"%,"100"%,"134",
"HEALTH SERVICES RESEARCH","HEALTH SERV RES","WILEY","0017-9124","1475-6773","HEALTH POLICY & SERVICES","SSCI","10,117","3.2","1.1","4.1","44.92"%,"100"%,"134",
"INTERNATIONAL JOURNAL OF OPERATIONS & PRODUCTION MANAGEMENT","INT J OPER PROD MAN","EMERALD GROUP PUBLISHING LTD","0144-3577","1758-6593","MANAGEMENT","SSCI","10,068","7.4","1.78","9.6","18.93"%,"100"%,"86",
"INTERNATIONAL JOURNAL OF FORECASTING","INT J FORECASTING","ELSEVIER","0169-2070","1872-8200","ECONOMICS","SSCI","9,948","7.1","2.16","7.5","35.02"%,"98.97"%,"97",
"INTERNATIONAL JOURNAL OF FORECASTING","INT J FORECASTING","ELSEVIER","0169-2070","1872-8200","MANAGEMENT","SSCI","9,948","7.1","2.16","7.5","35.02"%,"98.97"%,"97",
"EUROPEAN JOURNAL OF PUBLIC HEALTH","EUR J PUBLIC HEALTH","OXFORD UNIV PRESS","1101-1262","1464-360X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","9,911","3.9","0.89","4.2","100"%,"97.65"%,"170",
"INTERNATIONAL ORGANIZATION","INT ORGAN","CAMBRIDGE UNIV PRESS","0020-8183","1531-5088","INTERNATIONAL RELATIONS","SSCI","9,351","4.5","3.73","8.7","51.95"%,"96.43"%,"28",
"INTERNATIONAL ORGANIZATION","INT ORGAN","CAMBRIDGE UNIV PRESS","0020-8183","1531-5088","POLITICAL SCIENCE","SSCI","9,351","4.5","3.73","8.7","51.95"%,"96.43"%,"28",
"International Business Review","INT BUS REV","ELSEVIER","0969-5931","1873-6149","BUSINESS","SSCI","9,074","6.1","1.48","8.2","32.44"%,"97.56"%,"82",
"International Business Review","INT BUS REV","ELSEVIER","0969-5931","1873-6149","MANAGEMENT","SSCI","9,074","6.1","1.48","8.2","32.44"%,"97.56"%,"82",
"Information Communication & Society","INFORM COMMUN SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1369-118X","1468-4462","COMMUNICATION","SSCI","9,069","3.3","1.67","5.6","47.81"%,"97.6"%,"167",
"Information Communication & Society","INFORM COMMUN SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1369-118X","1468-4462","SOCIOLOGY","SSCI","9,069","3.3","1.67","5.6","47.81"%,"97.6"%,"167",
"EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY","EUR J SOC PSYCHOL","WILEY","0046-2772","1099-0992","PSYCHOLOGY, SOCIAL","SSCI","8,917","2.7","1.09","3.9","58.61"%,"100"%,"100",
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES","INT J HUM-COMPUT ST","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1071-5819","1095-9300","COMPUTER SCIENCE, CYBERNETICS","SCIE","8,877","5.1","1.42","6.5","40.43"%,"99.19"%,"123",
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES","INT J HUM-COMPUT ST","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1071-5819","1095-9300","ERGONOMICS","SSCI","8,877","5.1","1.42","6.5","40.43"%,"99.19"%,"123",
"INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES","INT J HUM-COMPUT ST","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1071-5819","1095-9300","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","8,877","5.1","1.42","6.5","40.43"%,"99.19"%,"123",
"HEALTH COMMUNICATION","HEALTH COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1041-0236","1532-7027","COMMUNICATION","SSCI","8,824","2.7","1.28","3.6","11.8"%,"99.59"%,"244",
"HEALTH COMMUNICATION","HEALTH COMMUN","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1041-0236","1532-7027","HEALTH POLICY & SERVICES","SSCI","8,824","2.7","1.28","3.6","11.8"%,"99.59"%,"244",
"INDUSTRIAL MANAGEMENT & DATA SYSTEMS","IND MANAGE DATA SYST","EMERALD GROUP PUBLISHING LTD","0263-5577","1758-5783","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","8,750","4.7","0.82","6","3.28"%,"99.17"%,"120",
"INDUSTRIAL MANAGEMENT & DATA SYSTEMS","IND MANAGE DATA SYST","EMERALD GROUP PUBLISHING LTD","0263-5577","1758-5783","ENGINEERING, INDUSTRIAL","SCIE","8,750","4.7","0.82","6","3.28"%,"99.17"%,"120",
"HEALTH POLICY","HEALTH POLICY","ELSEVIER IRELAND LTD","0168-8510","1872-6054","HEALTH CARE SCIENCES & SERVICES","SCIE","8,608","3.4","1.3","3.3","57.17"%,"85.61"%,"139",
"HEALTH POLICY","HEALTH POLICY","ELSEVIER IRELAND LTD","0168-8510","1872-6054","HEALTH POLICY & SERVICES","SSCI","8,608","3.4","1.3","3.3","57.17"%,"85.61"%,"139",
"GOVERNMENT INFORMATION QUARTERLY","GOV INFORM Q","ELSEVIER INC","0740-624X","1872-9517","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,409","10","3","11.1","41.39"%,"95"%,"60",
"International Journal of Consumer Studies","INT J CONSUM STUD","WILEY","1470-6423","1470-6431","BUSINESS","SSCI","8,324","7.6","1.39","9.7","24.44"%,"67.02"%,"94",
"International Journal of Social Research Methodology","INT J SOC RES METHOD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1364-5579","1464-5300","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","8,056","2","1.28","4.5","60.26"%,"97.56"%,"41",
"INFORMATION AND SOFTWARE TECHNOLOGY","INFORM SOFTWARE TECH","ELSEVIER","0950-5849","1873-6025","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","7,739","4.3","1.06","4.5","31.73"%,"88.44"%,"173",
"INFORMATION AND SOFTWARE TECHNOLOGY","INFORM SOFTWARE TECH","ELSEVIER","0950-5849","1873-6025","COMPUTER SCIENCE, SOFTWARE ENGINEERING","SCIE","7,739","4.3","1.06","4.5","31.73"%,"88.44"%,"173",
"Engineering Construction and Architectural Management","ENG CONSTR ARCHIT MA","EMERALD GROUP PUBLISHING LTD","0969-9988","1365-232X","ENGINEERING, CIVIL","SCIE","7,429","3.9","0.72","4.7","3.02"%,"95.69"%,"325",
"Engineering Construction and Architectural Management","ENG CONSTR ARCHIT MA","EMERALD GROUP PUBLISHING LTD","0969-9988","1365-232X","ENGINEERING, INDUSTRIAL","SCIE","7,429","3.9","0.72","4.7","3.02"%,"95.69"%,"325",
"Engineering Construction and Architectural Management","ENG CONSTR ARCHIT MA","EMERALD GROUP PUBLISHING LTD","0969-9988","1365-232X","MANAGEMENT","SSCI","7,429","3.9","0.72","4.7","3.02"%,"95.69"%,"325",
"HEALTH ECONOMICS","HEALTH ECON","WILEY","1057-9230","1099-1050","ECONOMICS","SSCI","7,354","2.4","0.78","2.5","43.48"%,"100"%,"120",
"HEALTH ECONOMICS","HEALTH ECON","WILEY","1057-9230","1099-1050","HEALTH CARE SCIENCES & SERVICES","SCIE","7,354","2.4","0.78","2.5","43.48"%,"100"%,"120",
"HEALTH ECONOMICS","HEALTH ECON","WILEY","1057-9230","1099-1050","HEALTH POLICY & SERVICES","SSCI","7,354","2.4","0.78","2.5","43.48"%,"100"%,"120",
"Internet Research","INTERNET RES","EMERALD GROUP PUBLISHING LTD","1066-2243","1066-2243","BUSINESS","SSCI","7,291","6.8","1.36","8.2","9.03"%,"96.58"%,"117",
"Internet Research","INTERNET RES","EMERALD GROUP PUBLISHING LTD","1066-2243","1066-2243","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","7,291","6.8","1.36","8.2","9.03"%,"96.58"%,"117",
"Internet Research","INTERNET RES","EMERALD GROUP PUBLISHING LTD","1066-2243","1066-2243","TELECOMMUNICATIONS","SCIE","7,291","6.8","1.36","8.2","9.03"%,"96.58"%,"117",
"HUMAN RESOURCE MANAGEMENT REVIEW","HUM RESOUR MANAGE R","ELSEVIER","1053-4822","1873-7889","MANAGEMENT","SSCI","7,242","13","2.14","13.2","28.89"%,"80.65"%,"31",
"INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS","INT J MANAG REV","WILEY","1460-8545","1468-2370","BUSINESS","SSCI","7,239","10.8","1.43","12.2","70"%,"18.52"%,"27",
"INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS","INT J MANAG REV","WILEY","1460-8545","1468-2370","MANAGEMENT","SSCI","7,239","10.8","1.43","12.2","70"%,"18.52"%,"27",
"GENDER & SOCIETY","GENDER SOC","SAGE PUBLICATIONS INC","0891-2432","1552-3977","SOCIOLOGY","SSCI","7,172","3.4","3.07","6.5","34.41"%,"100"%,"30",
