"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"STATISTICS IN MEDICINE","STAT MED","WILEY","0277-6715","1097-0258","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","33,763","1.8","0.61","2.6","35.83"%,"99.66"%,"291",
"STATISTICS IN MEDICINE","STAT MED","WILEY","0277-6715","1097-0258","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","33,763","1.8","0.61","2.6","35.83"%,"99.66"%,"291",
"STATISTICS IN MEDICINE","STAT MED","WILEY","0277-6715","1097-0258","STATISTICS & PROBABILITY","SCIE","33,763","1.8","0.61","2.6","35.83"%,"99.66"%,"291",
"PSYCHOLOGICAL REVIEW","PSYCHOL REV","AMER PSYCHOLOGICAL ASSOC","0033-295X","1939-1471","PSYCHOLOGY","SCIE","32,225","5.8","1.97","7.2","35.71"%,"92.54"%,"67",
"PSYCHOLOGICAL REVIEW","PSYCHOL REV","AMER PSYCHOLOGICAL ASSOC","0033-295X","1939-1471","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","32,225","5.8","1.97","7.2","35.71"%,"92.54"%,"67",
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","30,593","6","1.65","11","6.86"%,"98.53"%,"68",
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","30,593","6","1.65","11","6.86"%,"98.53"%,"68",
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","MANAGEMENT","SSCI","30,593","6","1.65","11","6.86"%,"98.53"%,"68",
"ORGANIZATION SCIENCE","ORGAN SCI","INFORMS","1047-7039","N/A","MANAGEMENT","SSCI","24,780","5.4","1.21","7.2","0.35"%,"100"%,"103",
"SAFETY SCIENCE","SAFETY SCI","ELSEVIER","0925-7535","1879-1042","ENGINEERING, INDUSTRIAL","SCIE","22,270","5.4","0.89","5.8","37.31"%,"90.44"%,"251",
"SAFETY SCIENCE","SAFETY SCI","ELSEVIER","0925-7535","1879-1042","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","22,270","5.4","0.89","5.8","37.31"%,"90.44"%,"251",
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","21,943","3.5","0.86","4.1","34.18"%,"98.65"%,"297",
"SCIENTOMETRICS","SCIENTOMETRICS","SPRINGER","0138-9130","1588-2861","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","21,943","3.5","0.86","4.1","34.18"%,"98.65"%,"297",
"QUALITY OF LIFE RESEARCH","QUAL LIFE RES","SPRINGER","0962-9343","1573-2649","HEALTH CARE SCIENCES & SERVICES","SCIE","21,932","2.7","1.02","4.1","51.88"%,"89.01"%,"273",
"QUALITY OF LIFE RESEARCH","QUAL LIFE RES","SPRINGER","0962-9343","1573-2649","HEALTH POLICY & SERVICES","SSCI","21,932","2.7","1.02","4.1","51.88"%,"89.01"%,"273",
"QUALITY OF LIFE RESEARCH","QUAL LIFE RES","SPRINGER","0962-9343","1573-2649","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","21,932","2.7","1.02","4.1","51.88"%,"89.01"%,"273",
"STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL","STRUCT EQU MODELING","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1070-5511","1532-8007","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","20,956","3.2","0.96","5.3","26.13"%,"98.59"%,"71",
"STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL","STRUCT EQU MODELING","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1070-5511","1532-8007","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","20,956","3.2","0.96","5.3","26.13"%,"98.59"%,"71",
"PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN","PERS SOC PSYCHOL B","SAGE PUBLICATIONS INC","0146-1672","1552-7433","PSYCHOLOGY, SOCIAL","SSCI","20,155","2.9","1.13","4.5","29.47"%,"100"%,"137",
"JOURNAL OF VOCATIONAL BEHAVIOR","J VOCAT BEHAV","ACADEMIC PRESS INC ELSEVIER SCIENCE","0001-8791","1095-9084","PSYCHOLOGY, APPLIED","SSCI","17,203","5.2","1.79","10.7","29.29"%,"96.55"%,"58",
"Marine Policy","MAR POLICY","ELSEVIER SCI LTD","0308-597X","1872-9460","ENVIRONMENTAL STUDIES","SSCI","17,081","3.7","1.44","4","37.85"%,"98.89"%,"450",
"Marine Policy","MAR POLICY","ELSEVIER SCI LTD","0308-597X","1872-9460","INTERNATIONAL RELATIONS","SSCI","17,081","3.7","1.44","4","37.85"%,"98.89"%,"450",
"Journal of Transport Geography","J TRANSP GEOGR","ELSEVIER SCI LTD","0966-6923","1873-1236","ECONOMICS","SSCI","16,756","6.3","1.88","7.1","33.28"%,"97.54"%,"244",
"Journal of Transport Geography","J TRANSP GEOGR","ELSEVIER SCI LTD","0966-6923","1873-1236","GEOGRAPHY","SSCI","16,756","6.3","1.88","7.1","33.28"%,"97.54"%,"244",
"Journal of Transport Geography","J TRANSP GEOGR","ELSEVIER SCI LTD","0966-6923","1873-1236","TRANSPORTATION","SSCI","16,756","6.3","1.88","7.1","33.28"%,"97.54"%,"244",
"ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES","ORGAN BEHAV HUM DEC","ACADEMIC PRESS INC ELSEVIER SCIENCE","0749-5978","1095-9920","MANAGEMENT","SSCI","16,370","3.8","1.09","6.1","22.61"%,"100"%,"30",
"ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES","ORGAN BEHAV HUM DEC","ACADEMIC PRESS INC ELSEVIER SCIENCE","0749-5978","1095-9920","PSYCHOLOGY, APPLIED","SSCI","16,370","3.8","1.09","6.1","22.61"%,"100"%,"30",
"ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES","ORGAN BEHAV HUM DEC","ACADEMIC PRESS INC ELSEVIER SCIENCE","0749-5978","1095-9920","PSYCHOLOGY, SOCIAL","SSCI","16,370","3.8","1.09","6.1","22.61"%,"100"%,"30",
"SOCIAL INDICATORS RESEARCH","SOC INDIC RES","SPRINGER","0303-8300","1573-0921","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","16,348","2.8","1.51","3.6","45.1"%,"100"%,"216",
"SOCIAL INDICATORS RESEARCH","SOC INDIC RES","SPRINGER","0303-8300","1573-0921","SOCIOLOGY","SSCI","16,348","2.8","1.51","3.6","45.1"%,"100"%,"216",
"OPERATIONS RESEARCH","OPER RES","INFORMS","0030-364X","N/A","MANAGEMENT","SSCI","15,475","2.6","0.53","3.3","0.2"%,"100"%,"132",
"OPERATIONS RESEARCH","OPER RES","INFORMS","0030-364X","N/A","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","15,475","2.6","0.53","3.3","0.2"%,"100"%,"132",
"SMALL BUSINESS ECONOMICS","SMALL BUS ECON","SPRINGER","0921-898X","1573-0913","BUSINESS","SSCI","14,548","4.8","1.37","7.9","58.42"%,"100"%,"127",
"SMALL BUSINESS ECONOMICS","SMALL BUS ECON","SPRINGER","0921-898X","1573-0913","ECONOMICS","SSCI","14,548","4.8","1.37","7.9","58.42"%,"100"%,"127",
"SMALL BUSINESS ECONOMICS","SMALL BUS ECON","SPRINGER","0921-898X","1573-0913","MANAGEMENT","SSCI","14,548","4.8","1.37","7.9","58.42"%,"100"%,"127",
"Journal of Travel Research","J TRAVEL RES","SAGE PUBLICATIONS INC","0047-2875","1552-6763","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","13,938","7","1.99","9.8","20.62"%,"100"%,"109",
"PRODUCTION AND OPERATIONS MANAGEMENT","PROD OPER MANAG","SAGE PUBLICATIONS INC","1059-1478","1937-5956","ENGINEERING, MANUFACTURING","SCIE","13,705","5.1","1.01","6.4","20.15"%,"100"%,"239",
"PRODUCTION AND OPERATIONS MANAGEMENT","PROD OPER MANAG","SAGE PUBLICATIONS INC","1059-1478","1937-5956","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","13,705","5.1","1.01","6.4","20.15"%,"100"%,"239",
"OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE","OMEGA-INT J MANAGE S","PERGAMON-ELSEVIER SCIENCE LTD","0305-0483","1873-5274","MANAGEMENT","SSCI","13,678","7.2","1.55","7.1","21.03"%,"98.87"%,"177",
"OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE","OMEGA-INT J MANAGE S","PERGAMON-ELSEVIER SCIENCE LTD","0305-0483","1873-5274","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","13,678","7.2","1.55","7.1","21.03"%,"98.87"%,"177",
"ORGANIZATIONAL RESEARCH METHODS","ORGAN RES METHODS","SAGE PUBLICATIONS INC","1094-4281","1552-7425","MANAGEMENT","SSCI","13,561","7.6","2.2","14.2","29.03"%,"100"%,"20",
"ORGANIZATIONAL RESEARCH METHODS","ORGAN RES METHODS","SAGE PUBLICATIONS INC","1094-4281","1552-7425","PSYCHOLOGY, APPLIED","SSCI","13,561","7.6","2.2","14.2","29.03"%,"100"%,"20",
"PUBLIC ADMINISTRATION REVIEW","PUBLIC ADMIN REV","WILEY","0033-3352","1540-6210","PUBLIC ADMINISTRATION","SSCI","13,272","4.9","2.05","7.3","46.69"%,"100"%,"81",
"PSYCHOLOGY & MARKETING","PSYCHOL MARKET","WILEY","0742-6046","1520-6793","BUSINESS","SSCI","13,017","9.1","2.06","8.9","43.57"%,"88.73"%,"204",
"PSYCHOLOGY & MARKETING","PSYCHOL MARKET","WILEY","0742-6046","1520-6793","PSYCHOLOGY, APPLIED","SSCI","13,017","9.1","2.06","8.9","43.57"%,"88.73"%,"204",
"REGIONAL STUDIES","REG STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0034-3404","1360-0591","ECONOMICS","SSCI","11,305","4.2","1.12","5.1","40.79"%,"100"%,"106",
"REGIONAL STUDIES","REG STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0034-3404","1360-0591","ENVIRONMENTAL STUDIES","SSCI","11,305","4.2","1.12","5.1","40.79"%,"100"%,"106",
"REGIONAL STUDIES","REG STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0034-3404","1360-0591","GEOGRAPHY","SSCI","11,305","4.2","1.12","5.1","40.79"%,"100"%,"106",
"REGIONAL STUDIES","REG STUD","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0034-3404","1360-0591","REGIONAL & URBAN PLANNING","SSCI","11,305","4.2","1.12","5.1","40.79"%,"100"%,"106",
"ORGANIZATION STUDIES","ORGAN STUD","SAGE PUBLICATIONS LTD","0170-8406","1741-3044","MANAGEMENT","SSCI","11,167","5.2","1.1","7.1","36.81"%,"100"%,"62",
"MANAGEMENT DECISION","MANAGE DECIS","EMERALD GROUP PUBLISHING LTD","0025-1747","1758-6070","BUSINESS","SSCI","11,054","5.1","1.13","5.9","9.31"%,"99.23"%,"259",
"MANAGEMENT DECISION","MANAGE DECIS","EMERALD GROUP PUBLISHING LTD","0025-1747","1758-6070","MANAGEMENT","SSCI","11,054","5.1","1.13","5.9","9.31"%,"99.23"%,"259",
"SEX ROLES","SEX ROLES","SPRINGER/PLENUM PUBLISHERS","0360-0025","1573-2762","PSYCHOLOGY, DEVELOPMENTAL","SSCI","10,949","3.4","1.45","4.6","33.95"%,"97.03"%,"101",
"SEX ROLES","SEX ROLES","SPRINGER/PLENUM PUBLISHERS","0360-0025","1573-2762","PSYCHOLOGY, SOCIAL","SSCI","10,949","3.4","1.45","4.6","33.95"%,"97.03"%,"101",
"SEX ROLES","SEX ROLES","SPRINGER/PLENUM PUBLISHERS","0360-0025","1573-2762","WOMENS STUDIES","SSCI","10,949","3.4","1.45","4.6","33.95"%,"97.03"%,"101",
"PERSONNEL PSYCHOLOGY","PERS PSYCHOL","WILEY","0031-5826","1744-6570","MANAGEMENT","SSCI","10,445","6.4","1.64","7.6","38.89"%,"100"%,"12",
"PERSONNEL PSYCHOLOGY","PERS PSYCHOL","WILEY","0031-5826","1744-6570","PSYCHOLOGY, APPLIED","SSCI","10,445","6.4","1.64","7.6","38.89"%,"100"%,"12",
"STUDIES IN HIGHER EDUCATION","STUD HIGH EDUC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0307-5079","1470-174X","EDUCATION & EDUCATIONAL RESEARCH","SSCI","10,419","3.2","1.67","4.7","45.91"%,"99.5"%,"199",
"Research in International Business and Finance","RES INT BUS FINANC","ELSEVIER","0275-5319","1878-3384","BUSINESS, FINANCE","SSCI","10,182","6.9","1.91","6.6","21.2"%,"98.85"%,"436",
"SOCIAL FORCES","SOC FORCES","OXFORD UNIV PRESS INC","0037-7732","1534-7605","SOCIOLOGY","SSCI","9,703","2.7","1.48","4.5","23.53"%,"100"%,"84",
"MULTIVARIATE BEHAVIORAL RESEARCH","MULTIVAR BEHAV RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0027-3171","1532-7906","MATHEMATICS, INTERDISCIPLINARY APPLICATIONS","SCIE","9,429","3.5","1.62","4.7","37.04"%,"94.23"%,"52",
"MULTIVARIATE BEHAVIORAL RESEARCH","MULTIVAR BEHAV RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0027-3171","1532-7906","PSYCHOLOGY, EXPERIMENTAL","SSCI","9,429","3.5","1.62","4.7","37.04"%,"94.23"%,"52",
"MULTIVARIATE BEHAVIORAL RESEARCH","MULTIVAR BEHAV RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0027-3171","1532-7906","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","9,429","3.5","1.62","4.7","37.04"%,"94.23"%,"52",
"MULTIVARIATE BEHAVIORAL RESEARCH","MULTIVAR BEHAV RES","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0027-3171","1532-7906","STATISTICS & PROBABILITY","SCIE","9,429","3.5","1.62","4.7","37.04"%,"94.23"%,"52",
"LONG RANGE PLANNING","LONG RANGE PLANN","ELSEVIER SCI LTD","0024-6301","1873-1872","BUSINESS","SSCI","8,824","6.3","1.8","9.7","45.4"%,"100"%,"58",
"LONG RANGE PLANNING","LONG RANGE PLANN","ELSEVIER SCI LTD","0024-6301","1873-1872","DEVELOPMENT STUDIES","SSCI","8,824","6.3","1.8","9.7","45.4"%,"100"%,"58",
"LONG RANGE PLANNING","LONG RANGE PLANN","ELSEVIER SCI LTD","0024-6301","1873-1872","MANAGEMENT","SSCI","8,824","6.3","1.8","9.7","45.4"%,"100"%,"58",
"MARKETING SCIENCE","MARKET SCI","INFORMS","0732-2399","1526-548X","BUSINESS","SSCI","8,794","4.9","0.88","6.6","0"%,"100"%,"71",
"PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW","PERS SOC PSYCHOL REV","SAGE PUBLICATIONS INC","1088-8683","1532-7957","PSYCHOLOGY, SOCIAL","SSCI","8,781","10.4","2.85","13.6","42"%,"76.47"%,"17",
"STATISTICAL SCIENCE","STAT SCI","INST MATHEMATICAL STATISTICS-IMS","0883-4237","2168-8745","STATISTICS & PROBABILITY","SCIE","8,675","3.4","1.91","5.2","10.11"%,"91.43"%,"35",
"SOCIOLOGICAL METHODS & RESEARCH","SOCIOL METHOD RES","SAGE PUBLICATIONS INC","0049-1241","1552-8294","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","8,621","6.5","2.89","7.1","31.45"%,"100"%,"16",
"SOCIOLOGICAL METHODS & RESEARCH","SOCIOL METHOD RES","SAGE PUBLICATIONS INC","0049-1241","1552-8294","SOCIOLOGY","SSCI","8,621","6.5","2.89","7.1","31.45"%,"100"%,"16",
"STATISTICAL METHODS IN MEDICAL RESEARCH","STAT METHODS MED RES","SAGE PUBLICATIONS LTD","0962-2802","1477-0334","HEALTH CARE SCIENCES & SERVICES","SCIE","8,483","1.9","0.65","2.5","26.58"%,"93.89"%,"131",
"STATISTICAL METHODS IN MEDICAL RESEARCH","STAT METHODS MED RES","SAGE PUBLICATIONS LTD","0962-2802","1477-0334","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","8,483","1.9","0.65","2.5","26.58"%,"93.89"%,"131",
"STATISTICAL METHODS IN MEDICAL RESEARCH","STAT METHODS MED RES","SAGE PUBLICATIONS LTD","0962-2802","1477-0334","MEDICAL INFORMATICS","SCIE","8,483","1.9","0.65","2.5","26.58"%,"93.89"%,"131",
"STATISTICAL METHODS IN MEDICAL RESEARCH","STAT METHODS MED RES","SAGE PUBLICATIONS LTD","0962-2802","1477-0334","STATISTICS & PROBABILITY","SCIE","8,483","1.9","0.65","2.5","26.58"%,"93.89"%,"131",
"SIAM JOURNAL ON COMPUTING","SIAM J COMPUT","SIAM PUBLICATIONS","0097-5397","1095-7111","COMPUTER SCIENCE, THEORY & METHODS","SCIE","8,375","1.6","0.67","2.1","0"%,"100"%,"44",
"SIAM JOURNAL ON COMPUTING","SIAM J COMPUT","SIAM PUBLICATIONS","0097-5397","1095-7111","MATHEMATICS, APPLIED","SCIE","8,375","1.6","0.67","2.1","0"%,"100"%,"44",
"SIAM JOURNAL ON APPLIED MATHEMATICS","SIAM J APPL MATH","SIAM PUBLICATIONS","0036-1399","1095-712X","MATHEMATICS, APPLIED","SCIE","8,293","2.1","1.11","2.1","0.3"%,"100"%,"139",
"JOURNAL OF WORLD BUSINESS","J WORLD BUS","ELSEVIER SCIENCE INC","1090-9516","1878-5573","BUSINESS","SSCI","8,240","8.8","1.75","9.2","38.78"%,"100"%,"36",
"PRODUCTION PLANNING & CONTROL","PROD PLAN CONTROL","TAYLOR & FRANCIS LTD","0953-7287","1366-5871","ENGINEERING, INDUSTRIAL","SCIE","8,083","5.4","1.02","7.8","37.45"%,"98.86"%,"88",
"PRODUCTION PLANNING & CONTROL","PROD PLAN CONTROL","TAYLOR & FRANCIS LTD","0953-7287","1366-5871","ENGINEERING, MANUFACTURING","SCIE","8,083","5.4","1.02","7.8","37.45"%,"98.86"%,"88",
"PRODUCTION PLANNING & CONTROL","PROD PLAN CONTROL","TAYLOR & FRANCIS LTD","0953-7287","1366-5871","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","8,083","5.4","1.02","7.8","37.45"%,"98.86"%,"88",
"Public Management Review","PUBLIC MANAG REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1471-9037","1471-9045","MANAGEMENT","SSCI","8,033","4.9","1.45","6.2","40.64"%,"100"%,"128",
"Public Management Review","PUBLIC MANAG REV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1471-9037","1471-9045","PUBLIC ADMINISTRATION","SSCI","8,033","4.9","1.45","6.2","40.64"%,"100"%,"128",
"Pacific-Basin Finance Journal","PAC-BASIN FINANC J","ELSEVIER","0927-538X","1879-0585","BUSINESS, FINANCE","SSCI","7,415","5.3","1.48","5.1","8.43"%,"99.71"%,"341",
"SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION","SOCIOLOGY","SAGE PUBLICATIONS LTD","0038-0385","1469-8684","SOCIOLOGY","SSCI","7,413","2.9","1.37","3.8","62.56"%,"100"%,"58",
"SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL","SUPPLY CHAIN MANAG","EMERALD GROUP PUBLISHING LTD","1359-8546","1758-6852","BUSINESS","SSCI","7,401","8.4","1.64","10.8","13.74"%,"100"%,"50",
"SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL","SUPPLY CHAIN MANAG","EMERALD GROUP PUBLISHING LTD","1359-8546","1758-6852","MANAGEMENT","SSCI","7,401","8.4","1.64","10.8","13.74"%,"100"%,"50",
"PHARMACOECONOMICS","PHARMACOECONOMICS","ADIS INT LTD","1170-7690","1179-2027","ECONOMICS","SSCI","7,336","4.6","1.32","5.1","67.01"%,"80.58"%,"103",
"PHARMACOECONOMICS","PHARMACOECONOMICS","ADIS INT LTD","1170-7690","1179-2027","HEALTH CARE SCIENCES & SERVICES","SCIE","7,336","4.6","1.32","5.1","67.01"%,"80.58"%,"103",
"PHARMACOECONOMICS","PHARMACOECONOMICS","ADIS INT LTD","1170-7690","1179-2027","HEALTH POLICY & SERVICES","SSCI","7,336","4.6","1.32","5.1","67.01"%,"80.58"%,"103",
"PHARMACOECONOMICS","PHARMACOECONOMICS","ADIS INT LTD","1170-7690","1179-2027","PHARMACOLOGY & PHARMACY","SCIE","7,336","4.6","1.32","5.1","67.01"%,"80.58"%,"103",
"Social Psychological and Personality Science","SOC PSYCHOL PERS SCI","SAGE PUBLICATIONS INC","1948-5506","1948-5514","PSYCHOLOGY, SOCIAL","SSCI","7,295","3.3","1.35","4.8","34.69"%,"100"%,"75",
"JOURNAL OF URBAN ECONOMICS","J URBAN ECON","ACADEMIC PRESS INC ELSEVIER SCIENCE","0094-1190","1095-9068","ECONOMICS","SSCI","7,274","4.8","1.79","6.5","30.06"%,"100"%,"65",
"JOURNAL OF URBAN ECONOMICS","J URBAN ECON","ACADEMIC PRESS INC ELSEVIER SCIENCE","0094-1190","1095-9068","URBAN STUDIES","SSCI","7,274","4.8","1.79","6.5","30.06"%,"100"%,"65",
"PUBLIC OPINION QUARTERLY","PUBLIC OPIN QUART","OXFORD UNIV PRESS","0033-362X","1537-5331","COMMUNICATION","SSCI","7,182","2.7","1.33","4.3","23.61"%,"97.96"%,"49",
"PUBLIC OPINION QUARTERLY","PUBLIC OPIN QUART","OXFORD UNIV PRESS","0033-362X","1537-5331","POLITICAL SCIENCE","SSCI","7,182","2.7","1.33","4.3","23.61"%,"97.96"%,"49",
"PUBLIC OPINION QUARTERLY","PUBLIC OPIN QUART","OXFORD UNIV PRESS","0033-362X","1537-5331","SOCIAL SCIENCES, INTERDISCIPLINARY","SSCI","7,182","2.7","1.33","4.3","23.61"%,"97.96"%,"49",
"M&SOM-Manufacturing & Service Operations Management","M&SOM-MANUF SERV OP","INFORMS","1523-4614","1526-5498","MANAGEMENT","SSCI","7,136","4.2","0.99","6.6","0"%,"100"%,"117",
"M&SOM-Manufacturing & Service Operations Management","M&SOM-MANUF SERV OP","INFORMS","1523-4614","1526-5498","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","7,136","4.2","0.99","6.6","0"%,"100"%,"117",
"STATISTICS AND COMPUTING","STAT COMPUT","SPRINGER","0960-3174","1573-1375","COMPUTER SCIENCE, THEORY & METHODS","SCIE","7,090","1.6","0.68","2.2","42.86"%,"100"%,"205",
"STATISTICS AND COMPUTING","STAT COMPUT","SPRINGER","0960-3174","1573-1375","STATISTICS & PROBABILITY","SCIE","7,090","1.6","0.68","2.2","42.86"%,"100"%,"205",
