Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,2024 JCI,5 Year JIF,% of Citable OA,% of Articles in Citable items,Citable Items
"JOURNAL OF BANKING & FINANCE","J BANK FINANC","ELSEVIER","0378-4266","1872-6372","BUSINESS, FINANCE","SSCI","23,919","3.8","1.15","4.8","23.4"%,"99.44"%,"178",
"JOURNAL OF BANKING & FINANCE","J BANK FINANC","ELSEVIER","0378-4266","1872-6372","ECONOMICS","SSCI","23,919","3.8","1.15","4.8","23.4"%,"99.44"%,"178",
"JOURNAL OF THE ACADEMY OF MARKETING SCIENCE","J ACAD MARKET SCI","SPRINGER","0092-0703","1552-7824","BUSINESS","SSCI","22,232","10.1","1.67","15.8","42.99"%,"97.01"%,"67",
"JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY","J CONSULT CLIN PSYCH","AMER PSYCHOLOGICAL ASSOC","0022-006X","1939-2117","PSYCHOLOGY, CLINICAL","SSCI","20,204","5","1.83","6.5","31.34"%,"100"%,"54",
"JOURNAL OF ECONOMIC PERSPECTIVES","J ECON PERSPECT","AMER ECONOMIC ASSOC","0895-3309","1944-7965","ECONOMICS","SSCI","20,002","8.8","2.47","14.4","68"%,"100"%,"44",
"JOURNAL OF CORPORATE FINANCE","J CORP FINANC","ELSEVIER","0929-1199","1872-6313","BUSINESS, FINANCE","SSCI","19,559","5.9","1.78","9.4","21.95"%,"99.25"%,"134",
"JOURNAL OF ORGANIZATIONAL BEHAVIOR","J ORGAN BEHAV","WILEY","0894-3796","1099-1379","BUSINESS","SSCI","19,524","6.8","1.38","10.1","46.4"%,"89.47"%,"76",
"JOURNAL OF ORGANIZATIONAL BEHAVIOR","J ORGAN BEHAV","WILEY","0894-3796","1099-1379","MANAGEMENT","SSCI","19,524","6.8","1.38","10.1","46.4"%,"89.47"%,"76",
"JOURNAL OF ORGANIZATIONAL BEHAVIOR","J ORGAN BEHAV","WILEY","0894-3796","1099-1379","PSYCHOLOGY, APPLIED","SSCI","19,524","6.8","1.38","10.1","46.4"%,"89.47"%,"76",
"JOURNAL OF INTERNATIONAL BUSINESS STUDIES","J INT BUS STUD","PALGRAVE MACMILLAN LTD","0047-2506","1478-6990","BUSINESS","SSCI","18,881","9","1.61","13.1","37.21"%,"95.31"%,"64",
"JOURNAL OF INTERNATIONAL BUSINESS STUDIES","J INT BUS STUD","PALGRAVE MACMILLAN LTD","0047-2506","1478-6990","MANAGEMENT","SSCI","18,881","9","1.61","13.1","37.21"%,"95.31"%,"64",
"JOURNAL OF MANAGEMENT STUDIES","J MANAGE STUD","WILEY","0022-2380","1467-6486","BUSINESS","SSCI","17,466","6.4","1.4","10.9","74.14"%,"92"%,"125",
"JOURNAL OF MANAGEMENT STUDIES","J MANAGE STUD","WILEY","0022-2380","1467-6486","MANAGEMENT","SSCI","17,466","6.4","1.4","10.9","74.14"%,"92"%,"125",
"JOURNAL OF ACCOUNTING & ECONOMICS","J ACCOUNT ECON","ELSEVIER","0165-4101","1879-1980","BUSINESS, FINANCE","SSCI","16,521","6.8","1.85","9.3","15.75"%,"98.08"%,"52",
"JOURNAL OF ACCOUNTING & ECONOMICS","J ACCOUNT ECON","ELSEVIER","0165-4101","1879-1980","ECONOMICS","SSCI","16,521","6.8","1.85","9.3","15.75"%,"98.08"%,"52",
"JOURNAL OF PUBLIC ECONOMICS","J PUBLIC ECON","ELSEVIER SCIENCE SA","0047-2727","0047-2727","ECONOMICS","SSCI","16,489","3.4","1.4","5.9","36.53"%,"100"%,"151",
"JOURNAL OF BUSINESS VENTURING","J BUS VENTURING","ELSEVIER","0883-9026","1873-2003","BUSINESS","SSCI","16,234","8.9","1.51","12.1","36.11"%,"97.96"%,"49",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","16,125","4.6","1.24","5.9","35.5"%,"92.11"%,"279",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","16,125","4.6","1.24","5.9","35.5"%,"92.11"%,"279",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","HEALTH CARE SCIENCES & SERVICES","SCIE","16,125","4.6","1.24","5.9","35.5"%,"92.11"%,"279",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","16,125","4.6","1.24","5.9","35.5"%,"92.11"%,"279",
"JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","OXFORD UNIV PRESS","1067-5027","1527-974X","MEDICAL INFORMATICS","SCIE","16,125","4.6","1.24","5.9","35.5"%,"92.11"%,"279",
"JOURNAL OF MANUFACTURING SYSTEMS","J MANUF SYST","ELSEVIER SCI LTD","0278-6125","1878-6642","ENGINEERING, INDUSTRIAL","SCIE","16,027","14.2","2.32","13.9","20.12"%,"89.43"%,"246",
"JOURNAL OF MANUFACTURING SYSTEMS","J MANUF SYST","ELSEVIER SCI LTD","0278-6125","1878-6642","ENGINEERING, MANUFACTURING","SCIE","16,027","14.2","2.32","13.9","20.12"%,"89.43"%,"246",
"JOURNAL OF MANUFACTURING SYSTEMS","J MANUF SYST","ELSEVIER SCI LTD","0278-6125","1878-6642","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","16,027","14.2","2.32","13.9","20.12"%,"89.43"%,"246",
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL","J EXP PSYCHOL GEN","AMER PSYCHOLOGICAL ASSOC","0096-3445","1939-2222","PSYCHOLOGY, EXPERIMENTAL","SSCI","15,685","3.5","1.29","4.5","24.86"%,"100"%,"176",
"JOURNAL OF DEVELOPMENT ECONOMICS","J DEV ECON","ELSEVIER","0304-3878","1872-6089","ECONOMICS","SSCI","15,605","4.6","1.49","6.4","32.72"%,"100"%,"141",
"JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY","J EXP SOC PSYCHOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0022-1031","1096-0465","PSYCHOLOGY, SOCIAL","SSCI","15,192","3.1","1.13","3.9","31.97"%,"100"%,"77",
"JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT","J CONSTR ENG M","ASCE-AMER SOC CIVIL ENGINEERS","0733-9364","1943-7862","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","13,982","5.1","0.84","5.6","2.56"%,"96.33"%,"245",
"JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT","J CONSTR ENG M","ASCE-AMER SOC CIVIL ENGINEERS","0733-9364","1943-7862","ENGINEERING, CIVIL","SCIE","13,982","5.1","0.84","5.6","2.56"%,"96.33"%,"245",
"JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT","J CONSTR ENG M","ASCE-AMER SOC CIVIL ENGINEERS","0733-9364","1943-7862","ENGINEERING, INDUSTRIAL","SCIE","13,982","5.1","0.84","5.6","2.56"%,"96.33"%,"245",
"JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION","J ECON BEHAV ORGAN","ELSEVIER","0167-2681","1879-1751","ECONOMICS","SSCI","13,912","2.3","0.75","2.6","35.3"%,"100"%,"381",
"Journal of Sustainable Tourism","J SUSTAIN TOUR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0966-9582","1747-7646","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SSCI","13,589","7.8","1.54","9.9","33.54"%,"100"%,"117",
"Journal of Sustainable Tourism","J SUSTAIN TOUR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0966-9582","1747-7646","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","13,589","7.8","1.54","9.9","33.54"%,"100"%,"117",
"JOURNAL OF ACCOUNTING RESEARCH","J ACCOUNT RES","WILEY","0021-8456","1475-679X","BUSINESS, FINANCE","SSCI","12,560","6.3","1.57","7.3","39.69"%,"100"%,"50",
"JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT","J ENVIRON ECON MANAG","ACADEMIC PRESS INC ELSEVIER SCIENCE","0095-0696","1096-0449","BUSINESS","SSCI","12,038","5.9","1.46","7.5","40"%,"99.26"%,"136",
"JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT","J ENVIRON ECON MANAG","ACADEMIC PRESS INC ELSEVIER SCIENCE","0095-0696","1096-0449","ECONOMICS","SSCI","12,038","5.9","1.46","7.5","40"%,"99.26"%,"136",
"JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT","J ENVIRON ECON MANAG","ACADEMIC PRESS INC ELSEVIER SCIENCE","0095-0696","1096-0449","ENVIRONMENTAL STUDIES","SSCI","12,038","5.9","1.46","7.5","40"%,"99.26"%,"136",
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION","J EXP PSYCHOL LEARN","AMER PSYCHOLOGICAL ASSOC","0278-7393","1939-1285","PSYCHOLOGY","SCIE","11,982","2.1","0.79","2.6","21.21"%,"100"%,"103",
"JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION","J EXP PSYCHOL LEARN","AMER PSYCHOLOGICAL ASSOC","0278-7393","1939-1285","PSYCHOLOGY, EXPERIMENTAL","SSCI","11,982","2.1","0.79","2.6","21.21"%,"100"%,"103",
"JOURNAL OF OPERATIONS MANAGEMENT","J OPER MANAG","WILEY","0272-6963","1873-1317","MANAGEMENT","SSCI","11,777","10.4","1.78","11.4","41.91"%,"100"%,"45",
"JOURNAL OF OPERATIONS MANAGEMENT","J OPER MANAG","WILEY","0272-6963","1873-1317","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","11,777","10.4","1.78","11.4","41.91"%,"100"%,"45",
"JOURNAL OF INTERNATIONAL ECONOMICS","J INT ECON","ELSEVIER","0022-1996","1873-0353","ECONOMICS","SSCI","11,240","4","1.18","5.2","24.52"%,"100"%,"125",
"JOURNAL OF MONETARY ECONOMICS","J MONETARY ECON","ELSEVIER","0304-3932","1873-1295","BUSINESS, FINANCE","SSCI","11,043","4.1","1.25","5.1","25.97"%,"100"%,"83",
"JOURNAL OF MONETARY ECONOMICS","J MONETARY ECON","ELSEVIER","0304-3932","1873-1295","ECONOMICS","SSCI","11,043","4.1","1.25","5.1","25.97"%,"100"%,"83",
"JOURNAL OF PERSONALITY ASSESSMENT","J PERS ASSESS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0022-3891","1532-7752","PSYCHOLOGY, CLINICAL","SSCI","10,984","2","0.8","3.2","22.28"%,"96.97"%,"66",
"JOURNAL OF PERSONALITY ASSESSMENT","J PERS ASSESS","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0022-3891","1532-7752","PSYCHOLOGY, SOCIAL","SSCI","10,984","2","0.8","3.2","22.28"%,"96.97"%,"66",
"JOURNAL OF PERSONALITY","J PERS","WILEY","0022-3506","1467-6494","PSYCHOLOGY, SOCIAL","SSCI","10,880","2.7","1.16","4.5","54.79"%,"100"%,"87",
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LTD","1367-3270","1758-7484","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","10,791","9.5","2.07","9.3","10.76"%,"98.53"%,"136",
"Journal of Knowledge Management","J KNOWL MANAG","EMERALD GROUP PUBLISHING LTD","1367-3270","1758-7484","MANAGEMENT","SSCI","10,791","9.5","2.07","9.3","10.76"%,"98.53"%,"136",
"JOURNAL OF INTELLIGENT MANUFACTURING","J INTELL MANUF","SPRINGER","0956-5515","1572-8145","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","10,691","7.4","1.09","7.7","26.23"%,"90.38"%,"260",
"JOURNAL OF INTELLIGENT MANUFACTURING","J INTELL MANUF","SPRINGER","0956-5515","1572-8145","ENGINEERING, MANUFACTURING","SCIE","10,691","7.4","1.09","7.7","26.23"%,"90.38"%,"260",
"JOURNAL OF RESEARCH IN PERSONALITY","J RES PERS","ACADEMIC PRESS INC ELSEVIER SCIENCE","0092-6566","1095-7251","PSYCHOLOGY, SOCIAL","SSCI","10,613","3.1","1.06","3.5","32.35"%,"100"%,"71",
"JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS","J FINANC QUANT ANAL","CAMBRIDGE UNIV PRESS","0022-1090","1756-6916","BUSINESS, FINANCE","SSCI","10,492","2.8","0.94","4.4","25.9"%,"100"%,"47",
"JOURNAL OF FINANCIAL AND QUANTITATIVE ANALYSIS","J FINANC QUANT ANAL","CAMBRIDGE UNIV PRESS","0022-1090","1756-6916","ECONOMICS","SSCI","10,492","2.8","0.94","4.4","25.9"%,"100"%,"47",
"JOURNAL OF SOCIAL ISSUES","J SOC ISSUES","WILEY","0022-4537","1540-4560","PSYCHOLOGY, SOCIAL","SSCI","10,354","4.7","1.51","5.9","39.73"%,"98.18"%,"55",
"JOURNAL OF SOCIAL ISSUES","J SOC ISSUES","WILEY","0022-4537","1540-4560","SOCIAL ISSUES","SSCI","10,354","4.7","1.51","5.9","39.73"%,"98.18"%,"55",
"JOURNAL OF COMMUNICATION","J COMMUN","OXFORD UNIV PRESS INC","0021-9916","1460-2466","COMMUNICATION","SSCI","10,234","5.5","2.69","6.7","26.4"%,"100"%,"41",
"JOURNAL OF APPLIED SOCIAL PSYCHOLOGY","J APPL SOC PSYCHOL","WILEY","0021-9029","1559-1816","PSYCHOLOGY, SOCIAL","SSCI","9,447","2.3","0.85","2.8","51.91"%,"100"%,"48",
"JOURNAL OF PRODUCT INNOVATION MANAGEMENT","J PROD INNOVAT MANAG","WILEY","0737-6782","1540-5885","BUSINESS","SSCI","9,238","8","1.62","12.3","66.14"%,"100"%,"37",
"JOURNAL OF PRODUCT INNOVATION MANAGEMENT","J PROD INNOVAT MANAG","WILEY","0737-6782","1540-5885","ENGINEERING, INDUSTRIAL","SCIE","9,238","8","1.62","12.3","66.14"%,"100"%,"37",
"JOURNAL OF PRODUCT INNOVATION MANAGEMENT","J PROD INNOVAT MANAG","WILEY","0737-6782","1540-5885","MANAGEMENT","SSCI","9,238","8","1.62","12.3","66.14"%,"100"%,"37",
"JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY","J OPER RES SOC","TAYLOR & FRANCIS LTD","0160-5682","1476-9360","MANAGEMENT","SSCI","9,198","2.7","0.57","3","12.17"%,"94.63"%,"149",
"JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY","J OPER RES SOC","TAYLOR & FRANCIS LTD","0160-5682","1476-9360","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","9,198","2.7","0.57","3","12.17"%,"94.63"%,"149",
"JOURNAL OF RETAILING","J RETAILING","ELSEVIER SCIENCE INC","0022-4359","1873-3271","BUSINESS","SSCI","9,180","10.2","1.78","10.3","34.75"%,"94.74"%,"38",
"JOURNAL OF BUSINESS & ECONOMIC STATISTICS","J BUS ECON STAT","TAYLOR & FRANCIS INC","0735-0015","1537-2707","ECONOMICS","SSCI","9,056","2.5","0.76","5.1","25.1"%,"100"%,"84",
"JOURNAL OF BUSINESS & ECONOMIC STATISTICS","J BUS ECON STAT","TAYLOR & FRANCIS INC","0735-0015","1537-2707","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","9,056","2.5","0.76","5.1","25.1"%,"100"%,"84",
"JOURNAL OF BUSINESS & ECONOMIC STATISTICS","J BUS ECON STAT","TAYLOR & FRANCIS INC","0735-0015","1537-2707","STATISTICS & PROBABILITY","SCIE","9,056","2.5","0.76","5.1","25.1"%,"100"%,"84",
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0742-1222","1557-928X","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","8,788","6.2","1.62","9.2","15.57"%,"100"%,"40",
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0742-1222","1557-928X","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","8,788","6.2","1.62","9.2","15.57"%,"100"%,"40",
"JOURNAL OF MANAGEMENT INFORMATION SYSTEMS","J MANAGE INFORM SYST","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0742-1222","1557-928X","MANAGEMENT","SSCI","8,788","6.2","1.62","9.2","15.57"%,"100"%,"40",
"JOURNAL OF THE ACM","J ACM","ASSOC COMPUTING MACHINERY","0004-5411","1557-735X","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","SCIE","8,582","2.5","0.77","3.3","6.25"%,"100"%,"42",
"JOURNAL OF THE ACM","J ACM","ASSOC COMPUTING MACHINERY","0004-5411","1557-735X","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","8,582","2.5","0.77","3.3","6.25"%,"100"%,"42",
"JOURNAL OF THE ACM","J ACM","ASSOC COMPUTING MACHINERY","0004-5411","1557-735X","COMPUTER SCIENCE, SOFTWARE ENGINEERING","SCIE","8,582","2.5","0.77","3.3","6.25"%,"100"%,"42",
"JOURNAL OF THE ACM","J ACM","ASSOC COMPUTING MACHINERY","0004-5411","1557-735X","COMPUTER SCIENCE, THEORY & METHODS","SCIE","8,582","2.5","0.77","3.3","6.25"%,"100"%,"42",
"JOURNAL OF HEALTH ECONOMICS","J HEALTH ECON","ELSEVIER","0167-6296","1879-1646","ECONOMICS","SSCI","8,558","3.6","1.27","4.1","38.06"%,"100"%,"68",
"JOURNAL OF HEALTH ECONOMICS","J HEALTH ECON","ELSEVIER","0167-6296","1879-1646","HEALTH CARE SCIENCES & SERVICES","SCIE","8,558","3.6","1.27","4.1","38.06"%,"100"%,"68",
"JOURNAL OF HEALTH ECONOMICS","J HEALTH ECON","ELSEVIER","0167-6296","1879-1646","HEALTH POLICY & SERVICES","SSCI","8,558","3.6","1.27","4.1","38.06"%,"100"%,"68",
"JOURNAL OF CONSUMER PSYCHOLOGY","J CONSUM PSYCHOL","JOHN WILEY & SONS LTD","1057-7408","1532-7663","BUSINESS","SSCI","8,500","6.1","1.36","6.2","40.71"%,"97.5"%,"40",
"JOURNAL OF CONSUMER PSYCHOLOGY","J CONSUM PSYCHOL","JOHN WILEY & SONS LTD","1057-7408","1532-7663","PSYCHOLOGY, APPLIED","SSCI","8,500","6.1","1.36","6.2","40.71"%,"97.5"%,"40",
"Journal of Hospitality and Tourism Management","J HOSP TOUR MANAG","ELSEVIER","1447-6770","1839-5260","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","8,403","7.8","1.99","8.6","0.84"%,"96.27"%,"134",
"Journal of Hospitality and Tourism Management","J HOSP TOUR MANAG","ELSEVIER","1447-6770","1839-5260","MANAGEMENT","SSCI","8,403","7.8","1.99","8.6","0.84"%,"96.27"%,"134",
"JOURNAL OF SYSTEMS AND SOFTWARE","J SYST SOFTWARE","ELSEVIER SCIENCE INC","0164-1212","1873-1228","COMPUTER SCIENCE, SOFTWARE ENGINEERING","SCIE","8,359","4.1","1.05","4.1","39.1"%,"96.97"%,"264",
"JOURNAL OF SYSTEMS AND SOFTWARE","J SYST SOFTWARE","ELSEVIER SCIENCE INC","0164-1212","1873-1228","COMPUTER SCIENCE, THEORY & METHODS","SCIE","8,359","4.1","1.05","4.1","39.1"%,"96.97"%,"264",
"JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS","J OPTIMIZ THEORY APP","SPRINGER/PLENUM PUBLISHERS","0022-3239","1573-2878","MATHEMATICS, APPLIED","SCIE","8,178","1.5","0.63","1.8","26"%,"99.5"%,"201",
"JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS","J OPTIMIZ THEORY APP","SPRINGER/PLENUM PUBLISHERS","0022-3239","1573-2878","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","8,178","1.5","0.63","1.8","26"%,"99.5"%,"201",
"Journal of Occupational Health Psychology","J OCCUP HEALTH PSYCH","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1076-8998","1939-1307","PSYCHOLOGY, APPLIED","SSCI","8,166","3.9","1.57","6.8","11.59"%,"100"%,"21",
"Journal of Occupational Health Psychology","J OCCUP HEALTH PSYCH","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1076-8998","1939-1307","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","8,166","3.9","1.57","6.8","11.59"%,"100"%,"21",
"JOURNAL OF APPLIED ECONOMETRICS","J APPL ECONOMET","WILEY","0883-7252","1099-1255","ECONOMICS","SSCI","7,995","3.1","0.82","2.9","38.17"%,"100"%,"73",
"JOURNAL OF APPLIED ECONOMETRICS","J APPL ECONOMET","WILEY","0883-7252","1099-1255","SOCIAL SCIENCES, MATHEMATICAL METHODS","SSCI","7,995","3.1","0.82","2.9","38.17"%,"100"%,"73",
"JOURNAL OF ECONOMIC THEORY","J ECON THEORY","ACADEMIC PRESS INC ELSEVIER SCIENCE","0022-0531","1095-7235","ECONOMICS","SSCI","7,947","1.2","0.41","1.6","25.65"%,"100"%,"111",
"JOURNAL OF EUROPEAN PUBLIC POLICY","J EUR PUBLIC POLICY","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1350-1763","1466-4429","POLITICAL SCIENCE","SSCI","7,667","4.5","2.2","5.1","69.17"%,"100"%,"127",
