Title,Year,Type,Journal,Article URL,Researcher Name,Profile URL
Expanding near the home base or venture far? The influence of home country state on the economic distance of foreign direct investments,2017,Contribution to journal,Journal of Business Research,https://researchportalplus.anu.edu.au/en/publications/expanding-near-the-home-base-or-venture-far-the-influence-of-home,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Marketized state ownership and foreign expansion of emerging market multinationals: Leveraging institutional competitive advantages,2017,Contribution to journal,Asia Pacific Journal of Management,https://researchportalplus.anu.edu.au/en/publications/marketized-state-ownership-and-foreign-expansion-of-emerging-mark,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Where to Seek Strategic Assets for Competitive Catch-up? A configurational study of emerging multinational enterprises expanding into foreign strategic factor markets,2017,Contribution to journal,Organization Studies,https://researchportalplus.anu.edu.au/en/publications/where-to-seek-strategic-assets-for-competitive-catch-up-a-configu,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Localized learning by emerging multinational enterprises in developed host countries: A fuzzy-set analysis of Chinese foreign direct investment in Australia,2016,Contribution to journal,International Business Review,https://researchportalplus.anu.edu.au/en/publications/localized-learning-by-emerging-multinational-enterprises-in-devel,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
The Primacy of Institutional Explanation of Chinese Outward FDI: Is It Understated or Overstated?,2016,Contribution to journal,Management and Organization Review,https://researchportalplus.anu.edu.au/en/publications/the-primacy-of-institutional-explanation-of-chinese-outward-fdi-i,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Institutional change and firms' entry mode in Africa,2015,Contribution to conference,N/A,https://researchportalplus.anu.edu.au/en/publications/institutional-change-and-firms-entry-mode-in-africa-2,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Leadership Experience Meets Ownership Structure: Returnee Managers and Internationalization of Emerging Economy Firms,2015,Contribution to journal,MIR: Management International Review: Journal of International Business,https://researchportalplus.anu.edu.au/en/publications/leadership-experience-meets-ownership-structure-returnee-managers,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Influence of high performance work systems on employee subjective well-being and job burnout: empirical evidence from the Chinese healthcare sector,2014,Contribution to journal,International Journal of Human Resource Management,https://researchportalplus.anu.edu.au/en/publications/influence-of-high-performance-work-systems-on-employee-subjective,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Low-level management control and cross-border knowledge transfer of emerging economy firms,2014,Contribution to journal,International Finance Review,https://researchportalplus.anu.edu.au/en/publications/low-level-management-control-and-cross-border-knowledge-transfer-,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Outward foreign direct investment of publicly listed firms from China: A corporate governance perspective,2014,Contribution to journal,International Business Review,https://researchportalplus.anu.edu.au/en/publications/outward-foreign-direct-investment-of-publicly-listed-firms-from-c,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Varieties in state capitalism: Outward FDI strategies of central and local state-owned enterprises from emerging economy countries,2014,Contribution to journal,Journal of International Business Studies,https://researchportalplus.anu.edu.au/en/publications/varieties-in-state-capitalism-outward-fdi-strategies-of-central-a,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
What drives firms' intent to seek strategic assets by foreign direct investment? A study of emerging economy firms,2014,Contribution to journal,Journal of World Business,https://researchportalplus.anu.edu.au/en/publications/what-drives-firms-intent-to-seek-strategic-assets-by-foreign-dire,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
"What governs directors’ monitoring behavior in China? The influence of director social identification, learning goal orientation, and avoidance orientation",2014,Contribution to journal,Asia Pacific Journal of Management,https://researchportalplus.anu.edu.au/en/publications/what-governs-directors-monitoring-behavior-in-china-the-influence,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
An integrative model of organizational safety behavior,2013,Contribution to journal,Journal of Safety Research,https://researchportalplus.anu.edu.au/en/publications/an-integrative-model-of-organizational-safety-behavior,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Experiential drivers of foreign direct investment by late-comer Asian firms: The Chinese evidence,2013,Contribution to journal,Journal of Business Research,https://researchportalplus.anu.edu.au/en/publications/experiential-drivers-of-foreign-direct-investment-by-late-comer-a,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Can strong home country institutions foster the internationalization of MNEs?,2012,Contribution to journal,Multinational Business Review,https://researchportalplus.anu.edu.au/en/publications/can-strong-home-country-institutions-foster-the-internationalizat,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
State ownership effect on firms' FDI ownership decisions under institutional pressure: A study of Chinese outward-investing firms,2012,Contribution to journal,Journal of International Business Studies,https://researchportalplus.anu.edu.au/en/publications/state-ownership-effect-on-firms-fdi-ownership-decisions-under-ins,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
"The entry-mode decision of Chinese outward FDI: Firm resources, industry conditions, and institutional forces",2011,Contribution to journal,Thunderbird International Business Review,https://researchportalplus.anu.edu.au/en/publications/the-entry-mode-decision-of-chinese-outward-fdi-firm-resources-ind,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Behind ownership decision of Chinese outward FDI: Resources and institutions,2010,Contribution to journal,Asia Pacific Journal of Management,https://researchportalplus.anu.edu.au/en/publications/behind-ownership-decision-of-chinese-outward-fdi-resources-and-in,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Internationalization of Emerging-Economy firms: The Effect of Institutional and Foreign Ownership,2010,Chapter in Book/Report/Conference proceeding,N/A,https://researchportalplus.anu.edu.au/en/publications/internationalization-of-emerging-economy-firms-the-effect-of-inst,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
The Impact of Institutional and foreign Ownership on the OFDI Decision of Emerging-Economy Firms: Evidence from Chinese Publicly Listed Companies,2010,Chapter in Book/Report/Conference proceeding,N/A,https://researchportalplus.anu.edu.au/en/publications/the-impact-of-institutional-and-foreign-ownership-on-the-ofdi-dec,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
FDI entry mode choice of Chinese firms: A strategic behavior perspective,2009,Contribution to journal,Journal of World Business,https://researchportalplus.anu.edu.au/en/publications/fdi-entry-mode-choice-of-chinese-firms-a-strategic-behavior-persp,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Foreign Subsidiary Ownership Structure of Chinese MNCs: A Case Study Approach,2009,Chapter in Book/Report/Conference proceeding,N/A,https://researchportalplus.anu.edu.au/en/publications/foreign-subsidiary-ownership-structure-of-chinese-mncs-a-case-stu,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Ownership decisions in Chinese outward FDI: An integrated conceptual framework and research agenda,2009,Contribution to journal,Asian Business and Management,https://researchportalplus.anu.edu.au/en/publications/ownership-decisions-in-chinese-outward-fdi-an-integrated-conceptu,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
The Entry Mode Decision of Chinese Outward FDI: A Strategy Tripod Analysis,2009,Chapter in Book/Report/Conference proceeding,N/A,https://researchportalplus.anu.edu.au/en/publications/the-entry-mode-decision-of-chinese-outward-fdi-a-strategy-tripod-,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Determinants of FDI Entry Mode Decisions of Chinese MNCs,2008,Chapter in Book/Report/Conference proceeding,N/A,https://researchportalplus.anu.edu.au/en/publications/determinants-of-fdi-entry-mode-decisions-of-chinese-mncs,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Extending Dunning's Eclectic Paradigm toward a Synthetic Model of FDI Performance: an Empirical Evidence in China,2008,Contribution to journal,The Social Science Researches,https://researchportalplus.anu.edu.au/en/publications/extending-dunnings-eclectic-paradigm-toward-a-synthetic-model-of-,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
Choice of FDI entry mode by Chinese MNC's: An integrated framework and empirical evidence,2007,Chapter in Book/Report/Conference proceeding,N/A,https://researchportalplus.anu.edu.au/en/publications/choice-of-fdi-entry-mode-by-chinese-mncs-an-integrated-framework-,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
FDI entry mode choice of Chinese MNCs: A strategic behaviour perspective,2007,Chapter in Book/Report/Conference proceeding,N/A,https://researchportalplus.anu.edu.au/en/publications/fdi-entry-mode-choice-of-chinese-mncs-a-strategic-behaviour-persp,Prof Lin Cui,https://researchportalplus.anu.edu.au/en/persons/lin-cui
